Motif,cell_ids
"['PFC', 'ORB', 'AUD', 'ACA']","[244, 296, 776, 886, 1262, 1922, 1963, 2383, 2589, 2670]"
"['PFC', 'ORB', 'AUD', 'VIS']","[100, 199, 861, 941, 1054, 1215, 1673, 1962, 1970, 2004, 2053, 2142, 2303, 2325, 2432, 2455, 2461, 2479, 2492, 2720]"
"['PFC', 'ORB', 'AUD', 'RSC']","[446, 504]"
"['PFC', 'ORB', 'ACA', 'VIS']","[476, 1004, 1403, 1568, 1635]"
"['PFC', 'ORB', 'ACA', 'RSC']","[561, 2698]"
"['PFC', 'ORB', 'PTL', 'RSC']",[1150]
"['PFC', 'ORB', 'VIS', 'RSC']","[786, 1258, 1827, 1925]"
"['PFC', 'SS', 'AUD', 'ACA']","[410, 2194]"
"['PFC', 'SS', 'AUD', 'VIS']","[1034, 1167, 1252, 1271, 2039, 2216, 2603, 2688]"
"['PFC', 'SS', 'AUD', 'RSC']","[610, 934, 2125]"
"['PFC', 'SS', 'PTL', 'VIS']",[2294]
"['PFC', 'SS', 'VIS', 'RSC']",[2480]
"['PFC', 'AUD', 'ACA', 'VIS']","[54, 289, 660, 704, 1926, 2267, 2667]"
"['PFC', 'AUD', 'PTL', 'VIS']","[189, 665, 949, 2141, 2385, 2454]"
"['PFC', 'AUD', 'VIS', 'RSC']","[306, 1485, 2503, 2977]"
"['PFC', 'ACA', 'PTL', 'VIS']",[2557]
"['PFC', 'ACA', 'VIS', 'RSC']","[1018, 2305]"
"['PFC', 'PTL', 'VIS', 'RSC']","[850, 1933]"
"['ORB', 'SS', 'AUD', 'PTL']","[105, 281, 355, 1330]"
"['ORB', 'SS', 'AUD', 'VIS']","[340, 460, 503, 554, 863, 896, 899, 1222, 1347, 1379, 1398, 1458, 1537, 1606, 1672, 1746, 1758, 1787, 1800, 1888, 1927, 2003, 2021, 2167, 2320, 2322, 2391, 2401, 2509, 2569]"
"['ORB', 'SS', 'PTL', 'VIS']","[890, 1316, 2268, 2809, 2846, 2972]"
"['ORB', 'SS', 'VIS', 'RSC']","[164, 727, 852, 979, 1136, 1216, 1290, 1598]"
"['ORB', 'AUD', 'ACA', 'VIS']","[1663, 1681, 1790, 2313]"
"['ORB', 'AUD', 'PTL', 'VIS']","[159, 280, 508, 594, 652, 1463, 1718, 1798, 1866, 1901, 1997, 2050, 2079, 2333, 2369, 2376, 2399]"
"['ORB', 'AUD', 'VIS', 'RSC']","[112, 194, 379, 413, 448, 451, 468, 656, 912, 956, 1404, 1462, 1491, 1547, 1632, 1638, 1639, 1686, 1697, 1828, 1846, 2122, 2186, 2324, 2337, 2357, 2555, 2584, 2635, 2998]"
"['ORB', 'ACA', 'PTL', 'RSC']",[1631]
"['ORB', 'ACA', 'VIS', 'RSC']","[706, 937, 970, 1711]"
"['ORB', 'PTL', 'VIS', 'RSC']","[382, 1363, 1637, 1703, 1768]"
"['SS', 'AUD', 'ACA', 'VIS']","[726, 1325, 1424, 1838, 1858, 2912]"
"['SS', 'AUD', 'PTL', 'VIS']","[4, 14, 36, 57, 178, 195, 232, 290, 339, 420, 440, 445, 453, 457, 481, 485, 659, 795, 800, 811, 834, 894, 918, 926, 1062, 1087, 1093, 1097, 1104, 1114, 1118, 1123, 1125, 1131, 1139, 1185, 1223, 1250, 1285, 1303, 1354, 1470, 1496, 1634, 1676, 1883, 1935, 1959, 1976, 2028, 2046, 2047, 2070, 2101, 2116, 2148, 2222, 2232, 2259, 2265, 2276, 2288, 2338, 2372, 2381, 2384, 2402, 2414, 2420, 2433, 2435, 2484, 2506, 2554, 2616, 2620, 2656, 2666, 2747, 2761, 2803, 2870, 2878, 2889]"
"['SS', 'AUD', 'PTL', 'RSC']","[220, 231, 1008, 1322, 1874, 2946]"
"['SS', 'AUD', 'VIS', 'RSC']","[7, 69, 81, 142, 219, 239, 419, 521, 536, 551, 569, 633, 697, 712, 725, 788, 945, 985, 1132, 1147, 1158, 1214, 1237, 1310, 1644, 1692, 1783, 1861, 1915, 1995, 2278, 2387, 2405, 2412, 2427, 2493, 2520, 2534, 2587, 2591, 2596, 2604, 2641, 2645, 2649, 2653, 2663, 2669, 2675, 2682, 2690, 2709, 2760, 2768, 2843, 2849, 2873, 2892, 2903, 2924, 2928, 2940]"
"['SS', 'ACA', 'PTL', 'VIS']","[19, 204, 1340, 2677, 2932]"
"['SS', 'ACA', 'VIS', 'RSC']","[1251, 2936]"
"['SS', 'PTL', 'VIS', 'RSC']","[22, 62, 170, 174, 197, 277, 603, 632, 646, 657, 668, 710, 735, 762, 768, 774, 816, 823, 825, 829, 836, 887, 909, 929, 942, 966, 973, 978, 995, 1002, 1050, 1064, 1078, 1099, 1113, 1120, 1126, 1155, 1163, 1195, 1234, 1236, 1256, 1287, 1323, 1331, 1341, 1343, 1361, 1368, 1386, 1435, 1447, 1449, 1454, 1498, 1526, 1539, 1554, 1570, 1656, 1664, 1706, 1743, 1776, 1820, 1868, 1892, 1957, 1996, 2014, 2049, 2054, 2164, 2332, 2464, 2486, 2524, 2559, 2575, 2590, 2609, 2625, 2702, 2708, 2723, 2746, 2763, 2812, 2822, 2842, 2884, 3000]"
"['AUD', 'ACA', 'PTL', 'VIS']","[2104, 2985]"
"['AUD', 'ACA', 'VIS', 'RSC']","[1562, 1812, 2235, 2351, 2725, 2930]"
