"PFC","ORB","MO","SS","AUD","ACA","PTL","VIS","RSC","brain"
21.6774193548387,10.3384615384615,1.92,2.16949152542373,4.88135593220339,0,0,0,0,"two"
49.5483870967742,17.7230769230769,0,0,0,0,0,0,0,"two"
3.09677419354839,7.38461538461539,0,0,0,0,0,0,0,"two"
30.9677419354839,22.1538461538462,0,0,0,0,0,0,0,"two"
12.3870967741935,1.47692307692308,5.76,6.50847457627119,0,0,0,0,0,"two"
0,7.38461538461539,0,2.16949152542373,3.25423728813559,0,3.91836734693878,4.608,0,"two"
6.19354838709677,1.47692307692308,0,5.42372881355932,1.6271186440678,0,0,0,0,"two"
0,0,0,9.76271186440678,4.88135593220339,0,0,1.536,0,"two"
0,16.2461538461538,0,0,0,0,0,0,0,"two"
3.09677419354839,14.7692307692308,21.12,4.33898305084746,3.25423728813559,7.68,0,1.536,0,"two"
0,1.47692307692308,5.76,5.42372881355932,6.50847457627119,2.56,0,9.216,1.77777777777778,"two"
0,0,0,54.2372881355932,6.50847457627119,0,27.4285714285714,12.288,0,"two"
21.6774193548387,5.90769230769231,36.48,5.42372881355932,0,23.04,3.91836734693878,6.144,1.77777777777778,"two"
15.4838709677419,10.3384615384615,0,0,0,0,0,0,0,"two"
24.7741935483871,17.7230769230769,1.92,1.08474576271186,1.6271186440678,2.56,0,0,0,"two"
15.4838709677419,8.86153846153846,0,0,0,0,0,0,0,"two"
9.29032258064516,5.90769230769231,0,0,0,0,0,0,0,"two"
6.19354838709677,2.95384615384615,0,0,0,0,0,0,0,"two"
18.5806451612903,10.3384615384615,28.8,8.67796610169492,3.25423728813559,0,0,0,0,"two"
0,5.90769230769231,7.68,29.2881355932203,3.25423728813559,0,0,1.536,0,"two"
9.29032258064516,0,1.92,4.33898305084746,3.25423728813559,0,0,0,0,"two"
18.5806451612903,1.47692307692308,1.92,0,0,0,0,0,0,"two"
30.9677419354839,2.95384615384615,0,1.08474576271186,0,2.56,0,0,0,"two"
3.09677419354839,2.95384615384615,0,0,6.50847457627119,0,0,15.36,0,"two"
6.19354838709677,1.47692307692308,0,0,0,0,0,0,0,"two"
0,4.43076923076923,3.84,6.50847457627119,0,5.12,0,0,0,"two"
0,0,0,24.9491525423729,14.6440677966102,0,0,1.536,0,"two"
21.6774193548387,10.3384615384615,0,0,0,0,0,0,0,"two"
9.29032258064516,7.38461538461539,1.92,9.76271186440678,3.25423728813559,0,0,0,0,"two"
0,5.90769230769231,0,0,0,0,0,0,0,"two"
