"OFC","Motor","Rstr","SSctx","Cstr","Amyg","VisIp","VisC","AudC","Thal","Tect"
0,0,0,0,0,1.82178217821782,11,0,0,0,0
0,0,0,0,0,5.46534653465346,58,0,0,0,0
0,0,0,16,0,0,197,0,0,0,0
0,0,0,0,0,0,0,0,2.3,311.384615384615,0
0,0,0,0,0,0,0,0,0,100.649572649573,0
0,0,0,0,0,0,0,0,0,196.581196581197,10.0546448087432
0,0,0,0,0,0,89,0,0,0,28.1530054644809
0,0,0,0,0,1.82178217821782,0,0,0,256.34188034188,2.01092896174863
0,0,0,0,0,0,0,0,0,36.1709401709402,0
0,0,0,0,0,0,0,0,0,138.393162393162,0
0,0,0,0,0,0,0,0,0,39.3162393162393,0
0,0,0,0,0,1.82178217821782,0,0,0,125.811965811966,30.1639344262295
0,0,0,0,64.9411764705882,14.5742574257426,5,0,23,3.14529914529915,0
3.25663716814159,0,0,0,0,0,14,5.79527559055118,102.35,0,0
0,0,0,0,0,0,0,0,0,66.0512820512821,10.0546448087432
0,0,0,0,0,0,0,0,1.15,341.264957264957,62.3387978142076
0,0,8.65882352941176,0,34.0168067226891,23.6831683168317,0,0,4.6,0,0
1.08554572271386,0,69.2705882352941,0,173.176470588235,25.5049504950495,0,0,0,0,0
0,0,0,0,0,0,0,0,0,290.940170940171,44.2404371584699
0,0,0,0,58.7563025210084,0,8,0,0,0,0
0,0,0,0,3.09243697478992,1.82178217821782,0,0,77.05,1.57264957264957,0
4.34218289085546,0,6.49411764705882,0,46.3865546218487,7.28712871287129,0,0,418.6,0,0
0,0,0,0,12.3697478991597,0,0,5.79527559055118,28.75,0,0
0,0,0,0,0,0,0,0,95.45,0,0
3.25663716814159,0,77.9294117647059,11.2,21.6470588235294,25.5049504950495,0,0,0,0,0
0,0,0,0,0,0,0,0,31.05,0,0
0,0,0,0,0,0,0,0,0,608.615384615385,0
0,0,0,0,12.3697478991597,0,0,5.79527559055118,28.75,0,0
0,0,0,0,0,0,2,0,67.85,0,0
0,0,0,0,0,0,0,0,0,646.358974358974,0
0,0,0,0,0,5.46534653465346,74,0,0,0,0
0,0,0,0,0,5.46534653465346,11,0,0,0,0
0,0,0,0,0,0,0,0,0,221.74358974359,0
0,0,0,0,0,0,0,0,0,17.2991452991453,0
0,0,0,0,0,0,0,0,0,193.435897435897,2.01092896174863
0,0,0,0,0,0,0,0,0,257.91452991453,0
0,0,0,0,0,0,0,0,0,44.034188034188,4.02185792349727
0,0,0,0,0,9.10891089108911,0,0,0,25.1623931623932,4.02185792349727
0,0,0,0,0,0,1,0,152.95,0,0
0,0,0,12.8,0,58.2970297029703,0,0,31.05,0,2.01092896174863
0,0,0,0,0,0,2,0,92,0,0
0,0,0,0,37.109243697479,9.10891089108911,16,0,158.7,7.86324786324786,2.01092896174863
0,0,4.32941176470588,0,129.882352941176,69.2277227722772,1,4.34645669291339,138,0,0
0,0,2.16470588235294,0,0,5.46534653465346,0,0,26.45,0,0
0,0,0,0,15.4621848739496,49.1881188118812,8,0,31.05,0,0
0,0,0,0,12.3697478991597,25.5049504950495,20,0,102.35,0,0
0,0,0,0,0,0,0,0,0,507.965811965812,132.72131147541
0,0,0,0,3.09243697478992,0,23,0,79.35,0,0
5.42772861356932,0,0,0,9.27731092436975,0,13,0,0,0,0
0,0,6.49411764705882,0,0,1.82178217821782,9,1.4488188976378,20.7,3.14529914529915,0
4.34218289085546,0,6.49411764705882,0,46.3865546218487,7.28712871287129,0,0,418.6,0,0
0,0,6.49411764705882,0,0,1.82178217821782,9,1.4488188976378,20.7,3.14529914529915,0
5.42772861356932,0,0,0,9.27731092436975,0,13,0,0,0,0
0,0,0,0,0,0,144,0,0,0,0
3.25663716814159,0,77.9294117647059,11.2,21.6470588235294,25.5049504950495,0,0,0,0,0
0,0,0,0,0,0,0,0,0,334.974358974359,0
0,0,38.9647058823529,0,3.09243697478992,30.970297029703,0,0,60.95,0,0
0,0,0,0,0,0,0,0,0,144.683760683761,0
0,0,34.6352941176471,0,0,5.46534653465346,0,0,0,0,0
0,0,0,102.4,0,0,29,0,0,0,0
0,0,0,0,0,0,35,0,0,0,0
0,0,0,0,0,0,0,0,0,125.811965811966,0
0,0,0,0,0,0,0,0,0,117.948717948718,0
0,0,0,0,0,0,0,0,1.15,311.384615384615,0
0,0,0,0,0,0,0,0,0,150.974358974359,0
0,0,0,0,0,0,0,0,1.15,119.521367521368,0
0,0,0,0,0,0,0,0,0,353.846153846154,0
0,0,0,19.2,0,21.8613861386139,0,0,0,0,0
0,0,0,0,0,0,0,0,0,517.401709401709,0
0,0,0,0,3.09243697478992,91.0891089108911,0,0,59.8,0,0
0,0,0,0,52.5714285714286,23.6831683168317,0,0,37.95,0,0
0,0,0,0,34.0168067226891,87.4455445544554,6,30.4251968503937,354.2,0,0
0,0,0,0,0,71.049504950495,0,0,63.25,0,0
1.08554572271386,0,0,0,12.3697478991597,40.0792079207921,0,4.34645669291339,37.95,0,0
1.08554572271386,0,4.32941176470588,0,0,43.7227722772277,0,0,228.85,0,0
0,0,4.32941176470588,0,12.3697478991597,27.3267326732673,8,0,200.1,0,0
13.0265486725664,0,0,0,0,65.5841584158416,0,0,97.75,3.14529914529915,0
0,0,0,0,0,0,0,0,0,237.470085470085,56.3060109289617
0,0,0,0,0,0,0,0,0,265.777777777778,30.1639344262295
0,0,0,0,3.09243697478992,5.46534653465346,0,0,182.85,0,0
0,0,6.49411764705882,0,3.09243697478992,20.039603960396,1,0,73.6,0,0
0,0,0,40,0,0,6,0,0,0,0
0,0,0,9.6,0,0,60,0,0,0,0
0,0,0,0,0,0,0,0,1.15,429.333333333333,0
0,0,0,0,0,0,22,0,0,0,0
0,0,0,0,0,0,0,0,0,803.623931623932,225.224043715847
0,0,0,0,40.2016806722689,14.5742574257426,0,0,179.4,0,0
0,0,0,0,0,0,0,0,0,89.6410256410256,0
0,0,0,0,0,0,0,0,0,196.581196581197,0
0,0,0,0,0,0,0,0,0,237.470085470085,0
0,0,0,0,0,0,0,0,0,671.521367521368,6.0327868852459
0,0,0,0,0,0,0,0,0,509.538461538462,80.4371584699454
0,0,4.32941176470588,0,12.3697478991597,27.3267326732673,8,0,200.1,0,0
0,0,0,0,18.5546218487395,0,0,0,138,0,0
0,0,0,0,0,30.970297029703,0,13.0393700787402,101.2,0,0
1.08554572271386,0,0,0,0,18.2178217821782,7,1.4488188976378,188.6,0,0
0,0,0,0,52.5714285714286,23.6831683168317,0,0,37.95,0,0
0,0,0,0,0,0,3,0,23,0,0
0,0,0,0,0,5.46534653465346,6,0,143.75,0,0
0,0,0,0,37.109243697479,100.19801980198,0,0,87.4,0,0
0,0,0,0,64.9411764705882,109.306930693069,0,7.24409448818898,133.4,0,0
0,0,0,0,0,0,0,0,0,507.965811965812,94.5136612021858
0,0,0,0,9.27731092436975,0,0,0,0,1313.16239316239,116.633879781421
0,0,0,0,0,0,0,0,0,237.470085470085,56.3060109289617
0,0,0,0,0,0,0,0,1.15,55.042735042735,4.02185792349727
0,0,0,9.6,0,0,60,0,0,0,0
0,0,0,0,0,0,0,0,31.05,0,0
0,0,8.65882352941176,0,0,0,3,2.89763779527559,19.55,0,0
0,0,0,0,0,0,0,1.4488188976378,59.8,0,0
0,0,0,0,0,0,0,0,0,273.641025641026,0
0,0,0,0,0,0,0,0,31.05,0,0
0,0,0,0,0,0,0,0,0,410.461538461538,0
0,0,0,9.6,0,0,60,0,0,0,0
0,0,0,0,0,0,0,0,0,391.589743589744,0
0,0,0,0,0,0,0,0,0,172.991452991453,0
0,0,0,0,0,0,0,1.4488188976378,88.55,0,0
0,0,0,0,43.2941176470588,94.7326732673267,0,0,0,0,0
0,0,0,0,77.3109243697479,51.009900990099,0,0,103.5,0,0
0,0,0,0,0,0,0,0,0,374.290598290598,108.590163934426
0,0,0,0,15.4621848739496,1.82178217821782,3,0,33.35,0,0
0,0,0,0,15.4621848739496,23.6831683168317,1,1.4488188976378,14.95,0,0
0,0,0,0,27.8319327731092,0,2,0,63.25,0,0
0,0,0,0,0,0,8,0,80.5,0,0
0,11.4285714285714,0,0,68.0336134453782,14.5742574257426,7,0,127.65,0,0
0,0,2.16470588235294,0,21.6470588235294,92.9108910891089,0,0,155.25,0,0
0,0,0,17.6,61.8487394957983,23.6831683168317,5,0,16.1,0,0
0,0,6.49411764705882,0,30.9243697478992,0,1,0,25.3,0,0
0,0,0,0,12.3697478991597,1.82178217821782,0,0,26.45,0,0
0,0,0,0,0,54.6534653465347,0,7.24409448818898,92,0,0
0,0,0,0,0,65.5841584158416,11,0,244.95,1.57264957264957,0
0,0,10.8235294117647,0,123.697478991597,41.9009900990099,0,0,59.8,0,2.01092896174863
0,0,0,0,0,0,0,0,2.3,1453.12820512821,414.251366120219
0,0,0,0,0,0,0,0,2.3,937.299145299145,112.612021857923
0,0,0,0,0,0,0,0,0,542.564102564103,245.333333333333
0,0,0,0,0,0,16,0,0,12.5811965811966,2.01092896174863
0,0,0,0,0,0,0,0,144.9,0,0
0,0,2.16470588235294,0,0,173.069306930693,34,0,142.6,0,0
0,0,0,0,0,0,0,0,1.15,434.051282051282,189.027322404372
0,0,0,0,0,0,0,0,0,460.786324786325,42.2295081967213
6.51327433628319,0,28.1411764705882,0,0,14.5742574257426,0,0,8.05,0,0
0,0,67.1058823529412,0,0,18.2178217821782,0,0,0,0,0
0,0,0,0,0,0,0,0,0,361.709401709402,0
0,0,0,0,0,0,0,0,0,915.282051282051,0
0,0,0,0,0,0,0,0,0,707.692307692308,0
0,0,0,0,0,0,0,0,0,172.991452991453,0
0,0,0,0,0,0,0,0,0,588.17094017094,0
1.08554572271386,0,0,0,37.109243697479,16.3960396039604,0,1.4488188976378,0,0,0
0,0,0,0,0,149.386138613861,20,0,0,0,0
0,0,0,0,21.6470588235294,9.10891089108911,3,0,156.4,0,0
0,0,0,0,0,3.64356435643564,0,0,0,66.0512820512821,0
0,0,0,0,0,38.2574257425743,0,0,0,0,0
0,0,0,9.6,0,0,31,0,0,0,0
0,0,0,0,21.6470588235294,9.10891089108911,3,0,156.4,0,0
1.08554572271386,4.57142857142857,0,188.8,6.18487394957983,18.2178217821782,64,0,0,0,0
0,0,0,0,0,36.4356435643564,0,0,0,0,0
0,0,0,0,0,0,0,0,0,287.794871794872,0
0,0,0,0,0,20.039603960396,0,0,0,0,0
0,0,0,0,6.18487394957983,9.10891089108911,9,0,46,0,0
0,0,0,0,0,0,0,0,0,268.923076923077,0
0,0,0,0,0,0,0,0,1.15,767.452991452991,0
0,0,0,0,18.5546218487395,5.46534653465346,0,1.4488188976378,117.3,0,0
0,0,0,1.6,0,0,58,0,0,0,0
0,0,0,0,0,1.82178217821782,0,0,1.15,1190.49572649573,351.912568306011
0,0,0,0,0,0,1,0,2.3,787.897435897436,255.387978142076
0,0,0,0,3.09243697478992,1.82178217821782,2,4.34645669291339,143.75,0,2.01092896174863
0,0,0,0,0,0,0,0,0,380.581196581197,197.071038251366
0,0,0,0,6.18487394957983,0,0,0,0,404.17094017094,112.612021857923
0,0,0,0,0,0,0,0,0,251.623931623932,64.3497267759563
0,0,0,0,0,9.10891089108911,12,0,0,0,0
0,0,10.8235294117647,0,46.3865546218487,34.6138613861386,0,0,19.55,0,0
2.17109144542773,0,0,0,6.18487394957983,1.82178217821782,2,0,133.4,1.57264957264957,0
0,0,0,0,0,0,0,0,0,1284.8547008547,345.879781420765
0,0,0,0,46.3865546218487,58.2970297029703,2,0,52.9,0,0
0,0,2.16470588235294,0,163.899159663866,43.7227722772277,0,0,17.25,0,0
0,0,0,0,3.09243697478992,36.4356435643564,0,0,209.3,0,0
0,0,6.49411764705882,0,43.2941176470588,32.7920792079208,0,0,98.9,0,0
0,0,0,0,0,0,0,0,0,201.299145299145,0
0,0,0,0,0,0,0,0,0,358.564102564103,0
0,0,0,0,0,0,0,0,13.8,0,0
0,0,0,0,58.7563025210084,0,0,0,34.5,0,0
0,0,0,0,0,0,0,0,13.8,0,0
0,0,0,0,46.3865546218487,58.2970297029703,2,0,52.9,0,0
0,0,0,0,61.8487394957983,52.8316831683168,1,0,64.4,0,0
0,0,2.16470588235294,0,163.899159663866,43.7227722772277,0,0,17.25,0,0
0,0,0,0,0,0,0,0,25.3,0,0
0,0,0,0,0,0,3,4.34645669291339,162.15,0,0
0,0,0,0,30.9243697478992,14.5742574257426,2,0,180.55,0,0
0,0,0,0,74.218487394958,41.9009900990099,0,0,34.5,4.71794871794872,0
0,0,0,0,0,9.10891089108911,10,2.89763779527559,32.2,0,0
0,0,0,0,0,0,1,4.34645669291339,149.5,0,0
0,0,0,0,0,0,0,0,85.1,0,0
0,0,0,0,0,0,0,2.89763779527559,31.05,0,0
0,0,0,0,0,0,0,0,85.1,0,0
0,0,0,0,0,29.1485148514851,0,0,0,0,0
0,0,0,0,3.09243697478992,40.0792079207921,0,0,0,0,0
0,0,0,0,6.18487394957983,0,0,0,0,412.034188034188,0
0,0,0,0,0,0,0,0,0,284.649572649573,0
0,2.28571428571429,17.3176470588235,16,0,27.3267326732673,21,7.24409448818898,393.3,0,0
0,0,0,0,0,0,52,0,0,0,0
5.42772861356932,0,110.4,0,9.27731092436975,20.039603960396,3,0,1.15,6.29059829059829,0
0,0,0,1.6,6.18487394957983,16.3960396039604,22,0,0,0,0
0,6.85714285714286,0,1.6,0,34.6138613861386,1,0,0,0,0
0,0,6.49411764705882,0,15.4621848739496,25.5049504950495,0,0,0,0,0
0,0,0,0,0,0,0,0,81.65,0,0
0,0,0,0,0,0,0,0,1.15,460.786324786325,0
0,0,0,0,0,0,0,0,0,643.213675213675,0
0,0,4.32941176470588,0,52.5714285714286,27.3267326732673,0,1.4488188976378,207,0,0
0,0,0,0,3.09243697478992,1.82178217821782,0,0,87.4,0,0
0,0,0,0,114.420168067227,20.039603960396,0,0,189.75,0,0
0,0,64.9411764705882,0,21.6470588235294,7.28712871287129,0,0,0,0,0
0,0,0,0,40.2016806722689,12.7524752475248,19,1.4488188976378,256.45,0,0
13.0265486725664,0,77.9294117647059,0,46.3865546218487,18.2178217821782,5,0,173.65,0,0
0,0,30.3058823529412,0,0,3.64356435643564,0,0,86.25,0,0
0,0,0,0,0,3.64356435643564,0,0,1.15,437.196581196581,114.622950819672
0,0,0,0,6.18487394957983,1.82178217821782,0,0,1.15,935.726495726496,205.114754098361
0,0,0,0,0,0,0,0,0,800.478632478632,92.5027322404372
0,0,0,0,0,0,0,0,2.3,1072.54700854701,351.912568306011
0,0,0,0,77.3109243697479,89.2673267326733,0,0,0,0,0
0,0,0,0,9.27731092436975,36.4356435643564,3,0,215.05,0,0
0,2.28571428571429,0,22.4,191.731092436975,45.5445544554455,1,0,2.3,0,0
0,0,0,0,74.218487394958,41.9009900990099,0,0,34.5,4.71794871794872,0
0,0,0,0,58.7563025210084,0,0,0,34.5,0,0
0,0,0,0,46.3865546218487,30.970297029703,11,0,223.1,0,0
0,0,4.32941176470588,0,9.27731092436975,34.6138613861386,0,0,301.3,0,0
0,0,0,0,37.109243697479,20.039603960396,8,0,195.5,4.71794871794872,0
0,0,0,0,12.3697478991597,49.1881188118812,6,1.4488188976378,210.45,0,0
0,0,0,0,21.6470588235294,23.6831683168317,0,0,148.35,0,2.01092896174863
0,0,0,0,0,3.64356435643564,0,0,17.25,0,0
0,0,0,0,46.3865546218487,30.970297029703,11,0,223.1,0,0
0,0,0,0,34.0168067226891,25.5049504950495,0,0,235.75,0,0
0,0,0,0,3.09243697478992,25.5049504950495,0,0,26.45,0,0
0,0,0,0,0,1.82178217821782,0,0,62.1,0,0
0,0,0,0,0,0,0,0,243.8,0,0
0,0,0,0,74.218487394958,0,0,20.2834645669291,317.4,1.57264957264957,0
0,0,0,0,0,0,2,0,77.05,0,0
0,0,0,0,139.159663865546,5.46534653465346,0,0,0,1.57264957264957,0
0,0,2.16470588235294,0,3.09243697478992,0,3,20.2834645669291,207,0,0
0,0,0,0,3.09243697478992,32.7920792079208,1,4.34645669291339,143.75,0,0
0,0,0,0,3.09243697478992,60.1188118811881,7,0,212.75,0,0
0,0,0,0,0,25.5049504950495,0,0,21.85,0,0
0,0,0,0,12.3697478991597,3.64356435643564,0,1.4488188976378,102.35,0,0
0,0,0,0,98.9579831932773,0,0,0,77.05,0,0
0,0,0,0,0,0,0,0,46,0,0
0,0,0,0,3.09243697478992,60.1188118811881,7,0,212.75,0,0
2.17109144542773,0,8.65882352941176,0,3.09243697478992,0,0,15.9370078740157,242.65,0,0
0,0,0,0,0,7.28712871287129,0,0,16.1,0,0
0,0,0,0,9.27731092436975,36.4356435643564,3,0,215.05,0,0
0,0,0,0,0,0,0,0,2.3,1072.54700854701,351.912568306011
0,0,0,0,6.18487394957983,1.82178217821782,0,0,1.15,935.726495726496,205.114754098361
0,0,0,0,0,0,0,0,49.45,0,0
0,0,4.32941176470588,0,9.27731092436975,34.6138613861386,0,0,301.3,0,0
0,0,0,0,0,0,0,1.4488188976378,123.05,0,0
0,0,0,0,0,0,0,0,0,328.683760683761,38.207650273224
0,0,0,0,6.18487394957983,0,0,0,0,520.547008547009,94.5136612021858
0,0,0,0,0,0,0,0,0,259.48717948718,42.2295081967213
0,0,0,0,0,10.9306930693069,0,0,131.1,0,0
0,0,0,0,0,5.46534653465346,0,0,1.15,981.333333333333,221.20218579235
0,0,0,0,0,0,0,0,0,512.683760683761,78.4262295081967
0,0,0,0,0,3.64356435643564,0,0,1.15,419.897435897436,128.699453551913
0,0,0,0,0,0,0,0,0,298.803418803419,44.2404371584699
0,0,0,0,0,0,0,0,1.15,1171.62393162393,331.803278688525
0,0,0,0,0,9.10891089108911,13,0,0,0,0
0,0,0,0,0,16.3960396039604,13,0,0,0,0
0,0,0,0,0,0,0,0,42.55,0,0
0,0,0,0,0,0,0,0,0,250.051282051282,0
0,0,0,0,0,0,0,0,0,517.401709401709,0
0,0,0,0,3.09243697478992,1.82178217821782,0,0,42.55,0,0
0,0,0,0,0,0,0,0,0,484.376068376068,0
0,0,0,0,0,7.28712871287129,0,0,86.25,0,0
0,0,0,0,98.9579831932773,0,0,0,77.05,0,0
0,0,0,3.2,21.6470588235294,10.9306930693069,3,13.0393700787402,236.9,0,0
0,0,0,0,0,151.207920792079,6,0,82.8,0,0
0,0,0,0,0,5.46534653465346,0,0,39.1,0,0
0,0,0,0,0,0,5,0,64.4,0,0
0,0,0,0,0,0,0,0,13.8,0,0
0,0,0,0,3.09243697478992,0,4,1.4488188976378,141.45,1.57264957264957,0
0,0,0,0,34.0168067226891,5.46534653465346,4,0,152.95,0,0
13.0265486725664,0,77.9294117647059,0,46.3865546218487,18.2178217821782,5,0,173.65,0,0
0,0,0,0,0,0,0,0,0,259.48717948718,42.2295081967213
0,0,0,0,0,5.46534653465346,0,0,1.15,981.333333333333,221.20218579235
0,0,0,0,0,0,0,0,1.15,1171.62393162393,331.803278688525
0,0,0,20.8,0,0,0,0,0,0,0
13.0265486725664,2.28571428571429,6.49411764705882,3.2,6.18487394957983,30.970297029703,14,0,0,0,0
0,0,0,0,0,0,0,0,0,124.239316239316,14.0765027322404
0,0,0,0,0,0,0,0,0,515.82905982906,92.5027322404372
0,0,0,0,0,0,0,0,0,273.641025641026,0
0,0,0,0,0,0,0,0,0,452.923076923077,0
0,0,0,0,0,0,0,0,1.15,347.555555555556,0
0,0,0,0,0,0,0,0,0,212.307692307692,0
0,0,0,0,0,0,0,0,0,283.076923076923,0
0,0,0,12.8,0,27.3267326732673,0,0,0,1097.7094017094,0
0,0,0,0,0,0,0,0,0,251.623931623932,0
0,0,0,0,0,0,0,0,0,432.478632478633,0
0,0,0,0,0,0,0,0,0,29.8803418803419,0
0,0,0,0,0,0,0,0,0,401.025641025641,0
0,0,0,0,0,0,0,0,1.15,971.897435897436,341.857923497268
0,0,0,0,0,32.7920792079208,0,0,0,0,0
0,0,0,0,0,40.0792079207921,11,11.5905511811024,141.45,0,0
