Li,LM,AL,AM,PM,RL
1.26792452830189,0,0,118.272,0,0
0,12.507614213198,0,5.376,0,0
0,0,133.423728813559,0,0,0
7.60754716981132,34.1116751269036,0,0,0,0
0,0,0,86.016,0,0
0,1.13705583756345,0,59.136,0,3.3022113022113
6.33962264150943,22.741116751269,1.6271186440678,0,0,0
27.8943396226415,11.3705583756345,0,0,0,0
3.80377358490566,6.82233502538071,3.25423728813559,188.16,18.4109589041096,0
15.2150943396226,34.1116751269036,0,21.504,0,0
1.26792452830189,12.507614213198,0,0,0,0
8.87547169811321,43.2081218274112,0,0,0,1.65110565110565
0,0,32.5423728813559,0,0,0
5.07169811320755,14.7817258883249,0,0,0,0
11.411320754717,15.9187817258883,0,0,0,0
6.33962264150943,14.7817258883249,0,0,0,0
0,0,0,59.136,0,0
17.7509433962264,11.3705583756345,0,0,0,0
0,13.6446700507614,0,10.752,0,0
0,14.7817258883249,0,0,0,0
6.33962264150943,22.741116751269,0,0,0,0
11.411320754717,21.6040609137056,0,0,0,0
0,0,0,69.888,0,0
0,0,0,59.136,0,0
0,0,19.5254237288136,0,1.84109589041096,0
0,0,0,80.64,1.84109589041096,0
0,0,151.322033898305,10.752,1.84109589041096,0
0,0,0,139.776,0,0
0,0,0,96.768,0,0
0,0,0,86.016,0,1.65110565110565
1.26792452830189,0,17.8983050847458,0,3.68219178082192,4.95331695331695
1.26792452830189,0,0,225.792,1.84109589041096,0
16.4830188679245,7.95939086294416,0,279.552,0,3.3022113022113
2.53584905660377,1.13705583756345,0,112.896,0,0
1.26792452830189,0,0,48.384,20.2520547945206,52.8353808353808
0,0,22.7796610169492,0,0,0
0,0,0,59.136,0,0
0,0,34.1694915254237,0,0,0
0,0,24.4067796610169,0,0,0
0,0,17.8983050847458,48.384,1.84109589041096,0
0,0,0,96.768,0,0
0,3.41116751269036,0,166.656,0,0
0,0,0,9.57917570498915,0,0
0,0.9064039408867,0,18.3600867678959,1.77777777777778,0
0,0.9064039408867,0,24.7462039045553,0,0
0,0,11.3982300884956,3.19305856832972,0,0
0,0,0.814159292035398,0,0,19.1561643835616
0,0,15.4690265486726,2.39479392624729,0,0
0,0,0,15.1670281995662,0,0
0,0,0,16.763557483731,0,0
0,0,16.283185840708,0,1.77777777777778,16.1315068493151
0,0,0,0,2.66666666666667,32.2630136986301
0,0,0.814159292035398,15.9652928416486,0,0
0,0,8.95575221238938,0,0,0
0,0,0,12.7722342733189,16,0
0,0,0.814159292035398,23.1496746203905,8.88888888888889,0
0,0,9.76991150442478,0,0,0
0,0,0,27.1409978308026,0,0
0,0,0,3.99132321041215,9.77777777777778,0
0,0,0,9.57917570498915,0.888888888888889,0
0,0.9064039408867,0.814159292035398,27.939262472885,2.66666666666667,1.00821917808219
0,1.8128078817734,11.3982300884956,0,0,0
0,0,11.3982300884956,0,0,0
0,0,23.6106194690265,0,0,0
0,0,0,9.57917570498915,0,1.00821917808219
0,0,14.6548672566372,0,0,2.01643835616438
0.784648187633262,0,13.0265486725664,0,0,0
0.784648187633262,0,2.44247787610619,5.58785249457701,14.2222222222222,0
0,0,32.5663716814159,1.59652928416486,0,0
0.784648187633262,0,0.814159292035398,41.5097613882863,0,0
0,1.8128078817734,12.212389380531,0,0,0
0,0.9064039408867,13.8407079646018,0,0,0
0,19.9408866995074,34.1946902654867,0,0,0
0,19.0344827586207,1.6283185840708,0,0,0
0,9.9704433497537,0,0,0,0
0,0.9064039408867,13.0265486725664,0.798264642082429,0,0
0,16.3152709359606,4.88495575221239,11.175704989154,0.888888888888889,0
0,20.8472906403941,37.4513274336283,0,0,0
0,0,0,13.5704989154013,0,0
0,21.7536945812808,3.25663716814159,7.18438177874186,0,0
0,44.4137931034483,3.25663716814159,0,0,0
0,16.3152709359606,11.3982300884956,0.798264642082429,0,0
0,0,0.814159292035398,11.9739696312364,0,0
0.784648187633262,3.6256157635468,1.6283185840708,9.57917570498915,0,0
0,6.3448275862069,11.3982300884956,2.39479392624729,0,0
0,20.8472906403941,2.44247787610619,0.798264642082429,0,0
0,1.8128078817734,12.212389380531,0,0,0
0,15.4088669950739,0.814159292035398,0.798264642082429,0,0
0,58.0098522167488,14.6548672566372,0,0,0
8.63113006396589,10.8768472906404,25.2389380530973,28.7375271149675,0,1.00821917808219
1.81952662721893,26.2688442211055,69.4094488188976,0,1.59326424870466,0
0,0,20.9842519685039,0,0,0
3.63905325443787,0,0,13.171334431631,0,0
0,0,6.45669291338583,43.5667215815486,0,0
0,0,0,31.4085667215816,0,0
0,26.2688442211055,29.0551181102362,0,0,0
0,38.6306532663317,11.2992125984252,0,0,0
0,24.7236180904523,17.755905511811,0,0,0
0,52.5376884422111,4.84251968503937,0,0,0
0,9.2713567839196,1.61417322834646,15.1976935749588,0,1.77745664739884
0,0,53.2677165354331,0,0,3.55491329479769
0,0,19.3700787401575,0,0,0
0,26.2688442211055,0,0,0,0
0,26.2688442211055,1.61417322834646,0,0,0
0,24.7236180904523,4.84251968503937,1.01317957166392,0,0
0,27.8140703517588,0,12.1581548599671,0,0
0,0,6.45669291338583,26.3426688632619,4.77979274611399,0
0,7.72613065326633,32.2834645669291,0,0,0
0,29.3592964824121,0,0,0,0
0,72.6256281407035,9.68503937007874,0,0,0
