"OFC","Motor","Rstr","SSctx","Cstr","Amyg","VisIp","VisC","AudC","Thal","Tect"
0,0,0,0,0,0,0,0,183.040540540541,0,0
0,0,0,0,2.54605263157895,0,0,0,274.560810810811,0,0
0,0,4.07368421052632,0,7.63815789473684,1.83412322274882,0,0,0,76.2272727272727,40.4705882352941
0,0,0,0,0,0,0,0,0,1127.77272727273,32.8823529411765
0,0,0,0,0,0,0,0,44.4527027027027,0,0
0,0,0,0,2.54605263157895,0,0,0,115.054054054054,0,0
0,0,0,0,0,0,1.57959183673469,0,2.61486486486486,697.772727272727,541.294117647059
0,0,0,0,5.09210526315789,0,0,0,1132.23648648649,0,0
0,0,0,0,0,0,0,0,0,351.818181818182,0
0,0,0,0,0,0,0,0,0,285.363636363636,0
0,0,0,0,0,0,0,0,0,557.045454545455,0
1,0,0,1.97448979591837,0,0,0,0,0,629.363636363636,258
1,0,2.03684210526316,0,50.9210526315789,1.83412322274882,0,0,0,228.681818181818,43
0,0,0,0,56.0131578947368,0,0,0,0,23.4545454545455,7.58823529411765
0,0,4.07368421052632,0,81.4736842105263,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,25.4090909090909,2.52941176470588
0,0,0,0,0,0,0,0,0,172,0
0,0,0,0,17.8223684210526,0,0,0,125.513513513514,0,0
0,0,2.03684210526316,0,45.828947368421,0,0,0,313.783783783784,0,0
0,0,4.07368421052632,0,160.401315789474,0,0,2.26315789473684,481.135135135135,0,0
0,0,0,0,48.375,0,0,0,849.831081081081,0,0
0,0,0,0,0,0,63.1836734693877,0,0,0,0
0,0,0,0,0,0,0,0,0,351.818181818182,0
0,0,2.03684210526316,0,140.032894736842,0,0,0,0,310.772727272727,0
0,0,2.03684210526316,0,129.848684210526,0,0,0,0,0,0
1,0,0,1.97448979591837,0,0,0,0,0,629.363636363636,258
0,0,0,0,0,0,0,0,0,557.045454545455,0
0,0,0,0,2.54605263157895,0,0,0,0,195.454545454545,0
0,0,0,0,96.75,0,1.57959183673469,0,0,539.454545454545,242.823529411765
0,0,0,0,28.0065789473684,0,0,0,0,254.090909090909,194.764705882353
0,0,0,0,0,0,0,0,643.256756756757,0,0
0,0,0,0,66.1973684210526,0,1.57959183673469,0,128.128378378378,0,0
0,0,0,0,22.9144736842105,0,0,0,520.358108108108,0,0
0,0,0,0,0,0,0,0,0,64.5,0
0,0,0,0,0,0,0,0,0,600.045454545455,37.9411764705882
0,0,0,0,0,0,0,0,0,592.227272727273,0
0,0,0,0,61.1052631578947,0,0,0,0,0,0
1,0,0,0,96.75,0,0,0,2.61486486486486,1067.18181818182,139.117647058824
1,0,0,0,35.6447368421053,0,0,0,0,408.5,25.2941176470588
0,0,0,0,68.7434210526316,0,0,0,0,0,0
0,0,0,0,28.0065789473684,0,0,0,0,33.2272727272727,10.1176470588235
0,0,0,0,127.302631578947,0,0,0,151.662162162162,0,0
0,0,2.03684210526316,0,155.309210526316,3.66824644549763,0,0,232.722972972973,0,0
0,0,0,0,17.8223684210526,0,0,0,193.5,0,0
0,0,2.03684210526316,0,10.1842105263158,0,139.004081632653,0,39.222972972973,0,0
1,0,0,0,96.75,0,0,0,2.61486486486486,492.545454545455,771.470588235294
0,0,4.07368421052632,0,56.0131578947368,0,0,0,0,605.909090909091,738.588235294118
1,0,0,0,0,0,0,0,0,408.5,215
0,0,0,0,20.3684210526316,0,3.15918367346939,0,1014.56756756757,0,0
0,0,8.14736842105263,1.97448979591837,323.348684210526,0,6.31836734693878,0,1843.47972972973,0,0
1,0,0,0,0,0,0,0,0,416.318181818182,215
0,0,0,0,56.0131578947368,1.83412322274882,7.89795918367347,20.3684210526316,313.783783783784,0,0
0,0,0,0,22.9144736842105,0,0,0,520.358108108108,0,0
0,0,4.07368421052632,0,15.2763157894737,0,11.0571428571429,0,441.912162162162,0,0
0,0,8.14736842105263,0,384.453947368421,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,64.5,0
0,0,2.03684210526316,0,5.09210526315789,0,0,0,1644.75,0,0
0,0,0,0,2.54605263157895,0,4.73877551020408,0,2.61486486486486,832.636363636364,235.235294117647
74,0,4.07368421052632,0,0,0,3.15918367346939,208.210526315789,0,9.77272727272727,0
0,1.74324324324324,0,0,2.54605263157895,0,777.159183673469,0,0,0,0
0,0,0,0,0,0,1.57959183673469,0,0,1063.27272727273,341.470588235294
2,0,0,0,114.572368421053,0,0,0,0,871.727272727273,265.588235294118
0,0,0,0,127.302631578947,0,0,0,151.662162162162,0,0
0,0,2.03684210526316,0,28.0065789473684,0,0,0,0,0,0
0,0,0,0,35.6447368421053,0,0,0,0,0,0
0,0,0,0,7.63815789473684,0,0,0,73.2162162162162,0,0
0,0,0,0,28.0065789473684,0,0,0,0,0,0
0,0,0,0,2.54605263157895,0,0,47.5263157894737,156.891891891892,0,20.2352941176471
0,0,0,0,0,0,0,0,232.722972972973,0,0
0,0,0,0,50.9210526315789,0,0,0,0,0,12.6470588235294
0,0,0,0,0,0,0,0,211.804054054054,0,0
0,0,0,0,48.375,0,0,0,245.797297297297,0,0
0,0,2.03684210526316,0,84.0197368421053,0,0,2.26315789473684,256.256756756757,0,0
0,0,0,0,91.6578947368421,0,0,0,198.72972972973,0,0
0,0,0,0,0,0,48.9673469387755,0,188.27027027027,0,0
2,0,2.03684210526316,0,73.8355263157895,0,0,0,0,1264.59090909091,705.705882352941
0,0,4.07368421052632,0,40.7368421052632,0,0,0,164.736486486486,0,0
0,0,6.11052631578947,0,81.4736842105263,0,0,0,128.128378378378,0,0
1,0,0,0,0,0,0,0,0,232.590909090909,0
2,0,0,0,0,0,0,0,0,412.409090909091,0
0,0,0,0,0,0,30.0122448979592,0,0,0,0
0,0,0,0,0,0,18.9551020408163,0,0,0,0
0,0,4.07368421052632,0,15.2763157894737,0,11.0571428571429,0,441.912162162162,0,0
0,0,0,0,30.5526315789474,0,0,0,154.277027027027,0,0
0,0,0,0,48.375,0,0,0,245.797297297297,0,0
0,0,0,0,0,0,0,0,73.2162162162162,0,0
0,0,0,0,22.9144736842105,0,0,0,88.9054054054054,0,0
0,0,0,0,0,0,66.3428571428571,0,0,0,0
0,0,0,0,28.0065789473684,0,0,0,101.97972972973,0,0
0,0,0,0,43.2828947368421,0,0,0,0,0,0
0,0,0,0,91.6578947368421,0,0,0,198.72972972973,0,0
0,0,0,0,38.1907894736842,0,0,0,387,0,0
0,0,0,0,38.1907894736842,0,0,2.26315789473684,154.277027027027,0,0
1,0,0,0,0,0,0,0,5.22972972972973,1049.59090909091,872.647058823529
0,0,2.03684210526316,0,73.8355263157895,0,0,0,321.628378378378,0,0
0,0,0,3.94897959183673,0,0,63.1836734693877,0,0,0,0
0,0,0,0,0,0,0,0,0,277.545454545455,0
0,0,0,5.9234693877551,7.63815789473684,0,206.926530612245,0,0,0,0
0,0,0,0,0,0,0,0,0,387,0
0,0,0,0,0,0,90.0367346938775,0,0,0,0
0,0,0,0,0,0,50.5469387755102,0,0,0,0
0,0,0,0,0,0,0,0,0,603.954545454545,96.1176470588235
0,50.5540540540541,0,39.4897959183673,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,363.545454545455,0
0,0,0,51.3367346938776,0,0,58.4448979591837,0,0,0,0
0,0,2.03684210526316,0,35.6447368421053,0,0,0,159.506756756757,0,0
0,0,0,0,94.2039473684211,0,0,0,201.344594594595,0,0
0,0,0,0,0,0,3.15918367346939,0,269.331081081081,0,0
0,0,0,0,0,0,0,0,28.7635135135135,0,0
0,0,0,0,127.302631578947,0,0,0,151.662162162162,0,0
0,0,2.03684210526316,0,73.8355263157895,0,0,0,321.628378378378,0,0
0,0,0,0,43.2828947368421,0,0,0,222.263513513514,0,0
0,0,2.03684210526316,0,94.2039473684211,0,0,0,606.648648648649,0,0
0,0,0,0,0,0,0,0,2.61486486486486,924.5,789.176470588235
0,0,14.2578947368421,0,58.5592105263158,0,0,0,371.310810810811,0,0
