Motif,cell_ids
"['PFC', 'ORB', 'AUD']","[71, 166, 184, 187, 204, 231, 236, 263, 289, 291, 295, 343, 345, 347, 351, 354, 389, 408, 413, 426, 430, 438, 441, 445, 447, 452, 453, 469, 478, 482, 500, 518, 546, 553, 556, 562, 606, 612, 615, 627, 632, 674, 690, 706, 714, 716, 717, 723, 729, 730, 743, 753, 788, 795, 797, 799, 846, 856, 874, 876, 879, 888, 891, 903, 905, 915, 920, 932, 962, 964, 979, 992, 1004, 1058, 1075, 1098, 1101, 1171, 1206, 1213, 1266, 1316, 1328, 1338, 1374, 1383, 1432, 1451, 1457, 1459, 1482, 1494, 1511, 1515, 1522, 1541, 1546, 1582, 1586, 1589, 1607, 1611, 1614, 1660, 1669, 1753, 1782, 1784, 1798, 1803, 1810, 1826, 1829, 1832, 1835, 1857, 1888, 1921, 1938, 1967, 1983, 2015, 2016, 2039, 2052, 2091, 2092, 2093, 2103, 2119, 2122, 2143, 2174, 2176, 2193, 2208, 2232, 2236, 2244, 2246, 2252, 2253, 2263, 2266]"
"['PFC', 'ORB', 'ACA']","[47, 50, 56, 96, 103, 105, 117, 125, 134, 196, 234, 319, 321, 481, 697, 817, 883, 916, 970, 985, 1093, 1118, 1128, 1144, 1170, 1195, 1212, 1230, 1231, 1349, 1372, 1439, 1463, 1615, 1633, 1654]"
"['PFC', 'SS', 'PTL']",[968]
"['PFC', 'SS', 'VIS']",[685]
"['PFC', 'VIS', 'RSC']",[659]
"['ORB', 'SS', 'AUD']","[106, 107, 201, 328, 379, 423, 427, 492, 510, 609, 625, 725, 739, 854, 906, 930, 1290, 1341, 1385, 1406, 1409, 1422, 1430, 1435, 1442, 1471, 1488, 1497, 1510, 1519, 1530, 1539, 1547, 1550, 1555, 1566, 1570, 1595, 1605, 1634, 1642, 1650, 1661, 1662, 1671, 1680, 1692, 1694, 1710, 1732, 1737, 1741, 1768, 1786, 1811, 1823, 1839, 1853, 1879, 1880, 1882, 1911, 1954, 1966, 1970, 1974, 1986, 2000, 2017, 2027, 2032, 2038, 2045, 2094, 2106, 2177, 2196, 2219, 2243, 2256, 2260, 2267]"
"['ORB', 'AUD', 'PTL']",[1994]
"['ORB', 'ACA', 'VIS']",[284]
"['ORB', 'ACA', 'RSC']",[340]
"['ORB', 'VIS', 'RSC']",[338]
"['SS', 'AUD', 'ACA']",[2072]
"['SS', 'AUD', 'VIS']","[7, 26, 37, 52, 145, 151, 155, 165, 209, 254, 260, 331, 333, 349, 359, 374, 411, 456, 463, 486, 506, 568, 616, 665, 686, 696, 766, 769, 775, 833, 861, 863, 885, 890, 922, 933, 938, 949, 1018, 1029, 1039, 1060, 1069, 1071, 1184, 1188, 1280, 1325, 1340, 1362, 1478, 1549, 1635, 1663, 1807, 2241]"
"['SS', 'PTL', 'RSC']",[1468]
"['ACA', 'PTL', 'VIS']",[451]
"['ACA', 'VIS', 'RSC']",[622]
"['PFC', 'ORB', 'SS', 'AUD']","[0, 6, 18, 28, 49, 58, 77, 82, 140, 171, 178, 194, 220, 245, 270, 362, 457, 578, 692, 818, 832, 836, 902, 977, 980, 1134, 1149, 1191, 1217, 1292, 1302, 1311, 1318, 1347, 1355, 1405, 1448, 1454, 1476, 1504, 1528, 1534, 1544, 1562, 1564, 1567, 1575, 1659, 1674, 1684, 1687, 1705, 1721, 1761, 1766, 1776, 1827, 1860, 1871, 1904, 1948, 1957, 1958, 2037, 2067, 2081, 2111, 2134, 2147, 2215, 2240, 2254]"
"['PFC', 'ORB', 'AUD', 'ACA']","[111, 230, 280, 316, 317, 324, 381, 385, 401, 415, 436, 450, 464, 503, 512, 593, 601, 623, 631, 751, 764, 831, 871, 954, 1106, 1165, 1428, 1453, 1486, 1533, 1565, 1593, 1670, 1699, 1711, 1772, 1813, 1847, 1896, 1934, 1981, 1989, 2014, 2028, 2098, 2117, 2126, 2127, 2149, 2153, 2157, 2168, 2192, 2221]"
"['PFC', 'ORB', 'AUD', 'VIS']","[23, 169, 192, 214, 252, 269, 273, 275, 292, 301, 308, 315, 325, 376, 496, 579, 599, 600, 610, 677, 688, 732, 774, 822, 882, 884, 901, 904, 1038, 1057, 1065, 1154, 1208, 1359, 1414, 1783, 2071]"
"['ORB', 'SS', 'AUD', 'VIS']","[19, 108, 150, 182, 221, 242, 262, 274, 416, 461, 636, 668, 779, 781, 889, 995, 1166, 1369, 1401, 1576, 1613, 1808, 1982, 2054, 2184]"
"['SS', 'AUD', 'PTL', 'VIS']","[11, 112, 143, 272, 366, 454, 526, 550, 619, 641, 645, 648, 703, 865, 998, 1011, 1031, 1050, 1173, 1198, 1245, 1276, 1344, 1363, 1452, 1464, 1509, 1551, 1603, 1724, 1742, 1830, 1901, 1997, 2097, 2164, 2205, 2259]"
"['PFC', 'ORB', 'SS', 'AUD', 'ACA']","[14, 40, 89, 131, 205, 299, 341, 567, 675, 695, 754, 955, 993, 1007, 1017, 1204, 1429, 1434, 1475, 1490, 1648, 1658, 1707, 1719, 1739, 1769, 1814, 1817, 1889, 1916, 1980, 1995, 2050]"
"['PFC', 'ORB', 'SS', 'AUD', 'VIS']","[30, 43, 92, 177, 322, 361, 378, 520, 700, 864, 950, 973, 981, 1001, 1257, 1285, 1295, 1351, 1657, 1825, 2007, 2108]"
"['ORB', 'SS', 'AUD', 'PTL', 'VIS']","[5, 156, 285, 373, 928, 945, 1005, 1030, 1097, 1157, 1403, 1461, 1629, 1637, 1673, 1743, 1751, 1859, 1932, 2029, 2064, 2169, 2223, 2227]"
"['SS', 'AUD', 'PTL', 'VIS', 'RSC']","[38, 94, 152, 188, 455, 471, 511, 671, 679, 759, 762, 1014, 1156, 1201, 1221, 1228, 1253, 1259, 1360, 1375, 1516, 1524, 1536, 1709, 1759, 1774, 1883, 1902, 2013, 2018, 2130, 2172, 2228]"
"['PFC', 'ORB', 'SS', 'AUD', 'PTL', 'VIS']","[489, 618, 633, 747, 961, 1238, 1247, 1491, 1656, 1793, 1944, 1952, 1962, 1971, 2160, 2247]"
"['PFC', 'ORB', 'SS', 'AUD', 'ACA', 'PTL', 'VIS']","[63, 67, 318, 393, 418, 564, 749, 792, 859, 1047, 1502, 1700, 1930, 1977, 2044, 2125, 2224]"
"['PFC', 'ORB', 'SS', 'AUD', 'PTL', 'VIS', 'RSC']","[88, 551, 912, 1094, 1433, 1689, 1763, 1800, 1867, 2068, 2154]"
"['PFC', 'SS', 'AUD', 'ACA', 'PTL', 'VIS', 'RSC']","[167, 211, 238, 824, 1036, 1045, 1107, 1618, 1691, 1848, 1920]"
"['PFC', 'ORB', 'SS', 'AUD', 'ACA', 'PTL', 'VIS', 'RSC']","[55, 195, 218, 531, 598, 680, 683, 800, 1070, 1348, 1370, 1411, 1571, 1683, 2062, 2178, 2207]"
