"PFC","ORB","MO","SS","ACA","PTL","VIS","RSC","brain","EC"
0,0,0,2.76258992805755,0,4.21978021978022,10.8936170212766,5.00869565217391,"one","MEC"
0,0,10.1946902654867,1.38129496402878,2.43037974683544,2.10989010989011,6.80851063829787,16.695652173913,"one","MEC"
0,0,0,0,0,0,0,11.6869565217391,"one","MEC"
0,5.38317757009346,0,0,0,0,10.8936170212766,0,"one","MEC"
0,0,0,4.14388489208633,0,6.32967032967033,5.4468085106383,0,"one","MEC"
0,0,0,0,2.43037974683544,2.10989010989011,5.4468085106383,13.3565217391304,"one","MEC"
0,0,20.3893805309735,6.90647482014388,2.43037974683544,59.0769230769231,77.6170212765957,115.2,"one","MEC"
0,0,0,1.38129496402878,0,0,24.5106382978723,26.7130434782609,"one","MEC"
4.31460674157303,7.17757009345794,0,4.14388489208633,0,0,0,0,"one","MEC"
10.7865168539326,1.79439252336449,23.787610619469,6.90647482014388,19.4430379746835,16.8791208791209,20.4255319148936,43.4086956521739,"one","MEC"
6.47191011235955,7.17757009345794,25.4867256637168,49.726618705036,19.4430379746835,52.7472527472528,32.6808510638298,11.6869565217391,"one","MEC"
0,0,0,1.38129496402878,0,12.6593406593407,1.36170212765957,0,"one","MEC"
0,0,0,2.76258992805755,0,21.0989010989011,49.0212765957447,20.0347826086957,"one","MEC"
0,0,0,0,0,6.32967032967033,121.191489361702,8.34782608695652,"one","MEC"
0,0,0,9.66906474820144,0,6.32967032967033,91.2340425531915,0,"one","MEC"
0,0,0,0,0,8.43956043956044,10.8936170212766,3.33913043478261,"one","MEC"
2.15730337078652,3.58878504672897,0,33.1510791366906,0,42.1978021978022,17.7021276595745,8.34782608695652,"one","MEC"
0,1.79439252336449,0,1.38129496402878,0,2.10989010989011,8.17021276595745,0,"one","MEC"
0,0,0,2.76258992805755,0,0,14.9787234042553,11.6869565217391,"one","MEC"
0,0,8.49557522123894,2.76258992805755,14.5822784810127,4.21978021978022,43.5744680851064,0,"one","MEC"
4.31460674157303,10.7663551401869,28.8849557522124,19.3381294964029,21.873417721519,75.956043956044,17.7021276595745,25.0434782608696,"one","MEC"
0,0,0,0,0,8.43956043956044,87.1489361702128,0,"one","MEC"
0,0,0,8.28776978417266,0,12.6593406593407,27.2340425531915,1.6695652173913,"one","MEC"
4.31460674157303,0,15.2920353982301,4.14388489208633,17.0126582278481,16.8791208791209,25.8723404255319,3.33913043478261,"one","MEC"
0,0,0,0,0,0,19.063829787234,15.0260869565217,"one","MEC"
0,0,0,0,0,8.43956043956044,31.3191489361702,30.0521739130435,"one","MEC"
0,0,5.09734513274336,5.52517985611511,9.72151898734177,10.5494505494505,24.5106382978723,5.00869565217391,"one","MEC"
0,0,0,1.38129496402878,0,0,5.4468085106383,0,"one","MEC"
0,17.9439252336449,0,0,0,4.21978021978022,9.53191489361702,0,"one","MEC"
2.15730337078652,7.17757009345794,0,2.76258992805755,2.43037974683544,8.43956043956044,10.8936170212766,0,"one","MEC"
0,0,3.39823008849558,2.76258992805755,0,27.4285714285714,111.659574468085,10.0173913043478,"one","MEC"
8.62921348314607,0,0,1.38129496402878,0,0,0,0,"one","MEC"
0,0,1.69911504424779,12.431654676259,0,4.21978021978022,6.80851063829787,5.00869565217391,"one","MEC"
0,0,0,1.38129496402878,0,2.10989010989011,23.1489361702128,0,"one","MEC"
0,7.17757009345794,3.39823008849558,0,0,21.0989010989011,102.127659574468,75.1304347826087,"one","MEC"
0,0,0,0,0,0,5.4468085106383,0,"one","MEC"
0,0,0,0,0,0,91.2340425531915,75.1304347826087,"one","MEC"
0,0,0,0,0,8.43956043956044,34.0425531914894,68.4521739130435,"one","MEC"
8.62921348314607,0,0,0,0,0,1.36170212765957,0,"one","MEC"
0,0,0,0,0,0,8.17021276595745,0,"one","MEC"
0,0,0,11.0503597122302,4.86075949367089,44.3076923076923,13.6170212765957,111.860869565217,"one","MEC"
0,0,5.09734513274336,2.76258992805755,0,2.10989010989011,17.7021276595745,55.095652173913,"one","MEC"
0,0,0,0,0,4.21978021978022,29.9574468085106,5.00869565217391,"one","MEC"
0,0,0,0,0,0,21.7872340425532,8.34782608695652,"one","MEC"
0,5.38317757009346,10.1946902654867,9.66906474820144,4.86075949367089,14.7692307692308,36.7659574468085,83.4782608695652,"one","MEC"
0,0,0,1.38129496402878,0,23.2087912087912,8.17021276595745,13.3565217391304,"one","MEC"
0,0,5.09734513274336,30.3884892086331,0,35.8681318681319,47.6595744680851,20.0347826086957,"one","MEC"
0,0,0,0,0,0,0,28.3826086956522,"one","MEC"
0,0,0,0,7.29113924050633,2.10989010989011,25.8723404255319,5.00869565217391,"one","MEC"
15.1011235955056,0,0,0,17.0126582278481,0,9.53191489361702,0,"one","MEC"
0,3.58878504672897,0,1.38129496402878,0,4.21978021978022,77.6170212765957,28.3826086956522,"one","MEC"
0,0,0,1.38129496402878,0,21.0989010989011,5.4468085106383,0,"one","MEC"
0,7.17757009345794,5.09734513274336,2.76258992805755,2.43037974683544,4.21978021978022,12.2553191489362,0,"one","MEC"
0,0,0,1.38129496402878,0,12.6593406593407,54.468085106383,3.33913043478261,"one","MEC"
0,0,5.09734513274336,4.14388489208633,7.29113924050633,12.6593406593407,9.53191489361702,18.3652173913043,"one","MEC"
0,0,0,4.14388489208633,0,4.21978021978022,13.6170212765957,20.0347826086957,"one","MEC"
0,14.3551401869159,3.39823008849558,13.8129496402878,4.86075949367089,23.2087912087912,17.7021276595745,16.695652173913,"one","MEC"
0,0,1.69911504424779,2.76258992805755,2.43037974683544,8.43956043956044,40.8510638297872,23.3739130434783,"one","MEC"
0,0,0,0,0,0,1.36170212765957,5.00869565217391,"one","MEC"
0,1.79439252336449,10.1946902654867,38.6762589928058,0,33.7582417582418,17.7021276595745,8.34782608695652,"one","MEC"
0,0,0,0,0,0,0,345.6,"one","MEC"
0,0,0,1.38129496402878,4.86075949367089,10.5494505494505,19.063829787234,0,"one","MEC"
0,0,0,4.14388489208633,0,0,19.063829787234,20.0347826086957,"one","MEC"
4.31460674157303,1.79439252336449,13.5929203539823,0,26.7341772151899,25.3186813186813,32.6808510638298,25.0434782608696,"one","MEC"
0,0,1.69911504424779,4.14388489208633,0,0,9.53191489361702,0,"one","MEC"
0,1.79439252336449,5.09734513274336,11.0503597122302,9.72151898734177,37.978021978022,46.2978723404255,28.3826086956522,"one","MEC"
0,0,0,0,7.29113924050633,2.10989010989011,8.17021276595745,6.67826086956522,"one","MEC"
0,1.79439252336449,0,0,0,10.5494505494505,141.617021276596,40.0695652173913,"one","MEC"
0,0,0,2.76258992805755,0,0,5.4468085106383,0,"one","MEC"
0,0,0,0,0,0,0,8.34782608695652,"one","MEC"
0,0,0,0,0,33.7582417582418,78.9787234042553,13.3565217391304,"one","MEC"
0,0,0,0,0,10.5494505494505,23.1489361702128,18.3652173913043,"one","MEC"
0,0,0,0,0,2.10989010989011,25.8723404255319,26.7130434782609,"one","MEC"
0,0,0,2.76258992805755,0,0,8.17021276595745,5.00869565217391,"one","MEC"
0,0,0,0,0,0,0,20.0347826086957,"one","MEC"
0,0,0,0,0,2.10989010989011,29.9574468085106,0,"one","MEC"
0,0,0,6.90647482014388,7.29113924050633,31.6483516483516,83.063829787234,26.7130434782609,"one","MEC"
0,0,5.09734513274336,5.52517985611511,2.43037974683544,4.21978021978022,35.4042553191489,15.0260869565217,"one","MEC"
0,0,11.8938053097345,1.38129496402878,2.43037974683544,14.7692307692308,62.6382978723404,10.0173913043478,"one","MEC"
0,0,0,0,0,0,21.7872340425532,1.6695652173913,"one","MEC"
6.47191011235955,3.58878504672897,11.8938053097345,2.76258992805755,17.0126582278481,10.5494505494505,4.08510638297872,5.00869565217391,"one","MEC"
0,0,0,0,0,2.10989010989011,46.2978723404255,0,"one","MEC"
2.15730337078652,0,3.39823008849558,6.90647482014388,9.72151898734177,6.32967032967033,31.3191489361702,5.00869565217391,"one","MEC"
0,0,0,0,0,0,17.7021276595745,65.1130434782609,"one","MEC"
