PFC,ORB,MO,SS,ACA,PTL,VIS,RSC,OLF,vStr,dStr,brain,EC
12.94382022,17.94392523,0,34.5323741,0,84.3956044,91.23404255,8.347826087,18.73170732,0,4.465116279,one,MEC
0,0,20.38938053,8.287769784,7.291139241,35.86813187,29.95744681,5.008695652,17.17073171,0,77.02325581,one,MEC
8.629213483,1.794392523,1.699115044,1.381294964,9.721518987,6.32967033,13.61702128,1.669565217,132.6829268,14.89655172,44.65116279,one,MEC
0,3.588785047,1.699115044,2.762589928,0,0,8.170212766,30.05217391,15.6097561,23.17241379,44.65116279,one,MEC
2.157303371,1.794392523,0,0,0,0,6.808510638,0,138.9268293,52.96551724,16.74418605,one,MEC
0,0,0,0,0,2.10989011,0,30.05217391,1.56097561,0,1.11627907,one,MEC
0,0,0,1.381294964,0,4.21978022,68.08510638,23.37391304,12.48780488,0,17.86046512,one,MEC
0,1.794392523,1.699115044,6.90647482,0,18.98901099,55.82978723,3.339130435,40.58536585,13.24137931,83.72093023,one,MEC
0,8.971962617,0,1.381294964,2.430379747,21.0989011,47.65957447,5.008695652,21.85365854,6.620689655,59.1627907,one,MEC
0,3.588785047,0,2.762589928,0,6.32967033,0,0,134.2439024,11.5862069,49.11627907,one,MEC
0,3.588785047,10.19469027,1.381294964,4.860759494,0,17.70212766,0,64,4.965517241,53.58139535,one,MEC
0,0,0,0,0,18.98901099,28.59574468,5.008695652,0,0,40.18604651,one,MEC
0,0,0,0,0,0,2.723404255,40.06956522,10.92682927,0,2.23255814,one,MEC
0,0,3.398230088,9.669064748,2.430379747,31.64835165,64,21.70434783,17.17073171,0,26.79069767,one,MEC
0,5.38317757,6.796460177,5.525179856,0,37.97802198,28.59574468,25.04347826,43.70731707,0,25.6744186,one,MEC
4.314606742,0,0,8.287769784,7.291139241,0,12.25531915,5.008695652,455.804878,86.06896552,4.465116279,one,MEC
0,1.794392523,0,0,0,0,6.808510638,1.669565217,76.48780488,11.5862069,128.372093,one,MEC
2.157303371,0,6.796460177,13.81294964,2.430379747,27.42857143,12.25531915,5.008695652,10.92682927,0,61.39534884,one,MEC
0,0,0,0,0,0,17.70212766,13.35652174,0,0,3.348837209,one,MEC
2.157303371,0,6.796460177,0,2.430379747,2.10989011,21.78723404,21.70434783,15.6097561,11.5862069,1.11627907,one,MEC
0,0,0,2.762589928,0,8.43956044,27.23404255,18.36521739,14.04878049,0,18.97674419,one,MEC
0,0,3.398230088,1.381294964,43.74683544,10.54945055,21.78723404,15.02608696,45.26829268,4.965517241,16.74418605,one,MEC
0,0,0,0,0,4.21978022,6.808510638,5.008695652,34.34146341,13.24137931,48,one,MEC
2.157303371,0,6.796460177,4.143884892,2.430379747,18.98901099,23.14893617,26.71304348,37.46341463,0,2.23255814,one,MEC
0,0,0,1.381294964,0,4.21978022,23.14893617,8.347826087,0,0,23.44186047,one,MEC
0,0,0,1.381294964,9.721518987,8.43956044,43.57446809,16.69565217,0,0,1.11627907,one,MEC
8.629213483,1.794392523,3.398230088,23.48201439,2.430379747,2.10989011,29.95744681,6.67826087,107.7073171,36.4137931,6.697674419,one,MEC
0,0,0,0,0,6.32967033,17.70212766,1.669565217,0,0,131.7209302,one,MEC
4.314606742,0,0,0,19.44303797,0,0,0,68.68292683,0,210.9767442,one,MEC
0,0,0,0,0,0,29.95744681,1.669565217,0,0,14.51162791,one,MEC
0,0,0,0,0,0,14.9787234,3.339130435,0,0,0,one,MEC
2.157303371,1.794392523,15.2920354,6.90647482,26.73417722,12.65934066,51.74468085,45.07826087,96.7804878,14.89655172,3.348837209,one,MEC
0,0,0,0,0,0,0,5.008695652,6.243902439,0,26.79069767,one,MEC
12.94382022,5.38317757,8.495575221,38.67625899,2.430379747,0,1.361702128,0,223.2195122,4.965517241,119.4418605,one,MEC
0,5.38317757,0,1.381294964,0,2.10989011,12.25531915,11.68695652,12.48780488,0,32.37209302,one,MEC
0,0,1.699115044,0,7.291139241,4.21978022,12.25531915,46.74782609,7.804878049,18.20689655,90.41860465,one,MEC
0,0,0,0,0,4.21978022,106.212766,23.37391304,0,0,5.581395349,one,MEC
2.157303371,12.56074766,0,2.762589928,0,14.76923077,27.23404255,1.669565217,45.26829268,3.310344828,135.0697674,one,MEC
0,0,0,0,0,12.65934066,47.65957447,1.669565217,0,0,0,one,MEC
0,0,1.699115044,23.48201439,0,31.64835165,64,40.06956522,0,0,33.48837209,one,MEC
0,0,0,4.143884892,0,8.43956044,39.4893617,5.008695652,7.804878049,0,21.20930233,one,MEC
0,1.794392523,1.699115044,0,0,25.31868132,34.04255319,21.70434783,23.41463415,1.655172414,81.48837209,one,MEC
0,0,5.097345133,15.1942446,0,92.83516484,77.61702128,6.67826087,26.53658537,4.965517241,54.69767442,one,MEC
0,0,0,0,0,6.32967033,65.36170213,10.0173913,0,0,29.02325581,one,MEC
0,0,13.59292035,8.287769784,0,56.96703297,36.76595745,35.06086957,4.682926829,0,0,one,MEC
0,0,0,2.762589928,0,0,20.42553191,20.03478261,10.92682927,0,0,one,MEC
0,0,0,0,0,37.97802198,57.19148936,73.46086957,0,0,0,one,MEC
0,1.794392523,0,0,0,2.10989011,5.446808511,6.67826087,3.12195122,0,0,one,MEC
0,0,0,9.669064748,0,12.65934066,17.70212766,1.669565217,14.04878049,6.620689655,18.97674419,one,MEC
0,0,0,22.10071942,0,35.86813187,88.5106383,13.35652174,9.365853659,0,229.9534884,one,MEC
0,0,6.796460177,62.15827338,0,50.63736264,104.8510638,33.39130435,64,0,1.11627907,one,MEC
0,0,0,1.381294964,0,8.43956044,24.5106383,1.669565217,0,0,35.72093023,one,MEC
0,0,1.699115044,4.143884892,0,0,39.4893617,0,34.34146341,33.10344828,92.65116279,one,MEC
0,5.38317757,0,0,0,0,0,0,7.804878049,3.310344828,0,one,MEC
4.314606742,5.38317757,0,6.90647482,0,0,5.446808511,8.347826087,18.73170732,1.655172414,58.04651163,one,MEC
0,0,0,0,0,2.10989011,35.40425532,31.72173913,7.804878049,0,17.86046512,one,MEC
0,0,3.398230088,1.381294964,0,21.0989011,83.06382979,10.0173913,10.92682927,13.24137931,106.0465116,one,MEC
0,0,0,0,4.860759494,0,0,13.35652174,0,0,0,one,MEC
0,0,0,0,0,4.21978022,10.89361702,5.008695652,0,0,0,one,MEC
0,0,0,0,0,0,1.361702128,11.68695652,21.85365854,1.655172414,0,one,MEC
0,0,0,0,0,0,2.723404255,10.0173913,20.29268293,0,2.23255814,one,MEC
10.78651685,8.971962617,0,0,2.430379747,2.10989011,4.085106383,0,134.2439024,87.72413793,2.23255814,one,MEC
0,7.177570093,0,1.381294964,0,0,9.531914894,3.339130435,14.04878049,1.655172414,7.813953488,one,MEC
0,0,1.699115044,1.381294964,0,2.10989011,36.76595745,6.67826087,17.17073171,1.655172414,7.813953488,one,MEC
0,1.794392523,1.699115044,6.90647482,0,16.87912088,40.85106383,50.08695652,10.92682927,1.655172414,17.86046512,one,MEC
0,0,1.699115044,1.381294964,0,4.21978022,27.23404255,1.669565217,1.56097561,0,1.11627907,one,MEC
0,0,0,1.381294964,0,6.32967033,23.14893617,16.69565217,0,0,10.04651163,one,MEC
0,0,0,2.762589928,0,2.10989011,12.25531915,1.669565217,0,0,2.23255814,one,MEC
0,0,0,0,0,10.54945055,87.14893617,53.42608696,0,0,0,one,MEC
0,0,3.398230088,1.381294964,0,25.31868132,19.06382979,11.68695652,26.53658537,4.965517241,10.04651163,one,MEC
0,1.794392523,0,5.525179856,0,2.10989011,23.14893617,1.669565217,51.51219512,0,24.55813953,one,MEC
0,0,0,2.762589928,0,16.87912088,42.21276596,1.669565217,1.56097561,0,41.30232558,one,MEC
0,0,0,13.81294964,0,6.32967033,0,0,20.29268293,9.931034483,83.72093023,one,MEC
0,0,0,2.762589928,0,4.21978022,10.89361702,1.669565217,21.85365854,8.275862069,35.72093023,one,MEC
0,0,0,0,0,6.32967033,6.808510638,11.68695652,0,0,0,one,MEC
0,0,1.699115044,8.287769784,0,4.21978022,19.06382979,0,14.04878049,0,5.581395349,one,MEC
0,8.971962617,0,2.762589928,0,2.10989011,4.085106383,1.669565217,12.48780488,4.965517241,63.62790698,one,MEC
2.157303371,7.177570093,25.48672566,6.90647482,7.291139241,0,0,26.71304348,28.09756098,0,22.3255814,one,MEC
4.314606742,0,1.699115044,1.381294964,14.58227848,6.32967033,19.06382979,0,3.12195122,1.655172414,63.62790698,one,MEC
0,0,15.2920354,0,0,31.64835165,40.85106383,36.73043478,37.46341463,26.48275862,4.465116279,one,MEC
0,0,1.699115044,5.525179856,2.430379747,10.54945055,43.57446809,25.04347826,3.12195122,0,5.581395349,one,MEC
0,1.794392523,0,0,0,0,14.9787234,0,48.3902439,28.13793103,26.79069767,one,MEC
0,0,0,0,0,0,0,13.35652174,0,0,0,one,MEC
0,3.588785047,6.796460177,0,4.860759494,16.87912088,53.10638298,5.008695652,223.2195122,99.31034483,31.25581395,one,MEC
0,0,0,0,0,6.32967033,10.89361702,0,4.682926829,0,3.348837209,one,MEC
0,7.177570093,0,1.381294964,0,2.10989011,1.361702128,35.06086957,160.7804878,26.48275862,1.11627907,one,MEC
2.157303371,0,0,0,0,4.21978022,13.61702128,0,29.65853659,21.51724138,20.09302326,one,MEC
0,0,6.796460177,1.381294964,2.430379747,40.08791209,29.95744681,6.67826087,7.804878049,4.965517241,31.25581395,one,MEC
0,0,0,0,0,23.20879121,83.06382979,10.0173913,0,0,79.25581395,one,MEC
4.314606742,0,44.17699115,27.62589928,43.74683544,90.72527473,110.2978723,38.4,42.14634146,0,13.39534884,one,MEC
0,1.794392523,0,0,0,0,8.170212766,1.669565217,67.12195122,48,17.86046512,one,MEC
0,0,0,1.381294964,0,4.21978022,43.57446809,0,0,0,10.04651163,one,MEC
2.157303371,3.588785047,3.398230088,8.287769784,2.430379747,44.30769231,49.0212766,40.06956522,18.73170732,1.655172414,35.72093023,one,MEC
0,0,0,11.05035971,0,14.76923077,39.4893617,1.669565217,9.365853659,1.655172414,50.23255814,one,MEC
2.157303371,10.76635514,25.48672566,16.57553957,14.58227848,6.32967033,83.06382979,1.669565217,64,3.310344828,32.37209302,one,MEC
6.471910112,1.794392523,1.699115044,0,0,0,16.34042553,0,92.09756098,1.655172414,112.744186,one,MEC
0,0,0,0,0,6.32967033,36.76595745,128.5565217,59.31707317,0,129.4883721,one,MEC
0,0,0,0,0,8.43956044,21.78723404,6.67826087,0,0,37.95348837,one,MEC
0,0,0,0,21.87341772,12.65934066,46.29787234,23.37391304,0,0,32.37209302,one,MEC
0,0,0,1.381294964,0,37.97802198,110.2978723,105.1826087,0,0,0,one,MEC
0,0,0,11.05035971,2.430379747,37.97802198,14.9787234,0,0,0,1.11627907,one,MEC
0,0,0,5.525179856,0,4.21978022,39.4893617,28.3826087,10.92682927,0,0,one,MEC
0,0,0,0,0,8.43956044,99.40425532,76.8,3.12195122,0,2.23255814,one,MEC
0,0,0,0,0,0,24.5106383,11.68695652,0,3.310344828,18.97674419,one,MEC
0,0,0,4.143884892,0,8.43956044,14.9787234,0,71.80487805,0,62.51162791,one,MEC
0,0,0,0,0,2.10989011,6.808510638,0,28.09756098,8.275862069,96,one,MEC
0,0,5.097345133,5.525179856,4.860759494,25.31868132,9.531914894,15.02608696,6.243902439,0,11.1627907,one,MEC
0,1.794392523,1.699115044,0,0,4.21978022,16.34042553,6.67826087,12.48780488,0,33.48837209,one,MEC
0,5.38317757,0,0,0,0,8.170212766,0,28.09756098,1.655172414,18.97674419,one,MEC
4.314606742,0,0,5.525179856,0,2.10989011,1.361702128,3.339130435,23.41463415,3.310344828,97.11627907,one,MEC
0,0,0,0,0,2.10989011,8.170212766,0,0,0,4.465116279,one,MEC
6.471910112,0,0,0,9.721518987,0,0,0,0,0,0,one,MEC
2.157303371,0,0,1.381294964,0,0,6.808510638,3.339130435,51.51219512,18.20689655,128.372093,one,MEC
0,0,0,12.43165468,2.430379747,82.28571429,325.4468085,100.173913,1.56097561,0,82.60465116,one,MEC
0,0,0,1.381294964,0,0,17.70212766,5.008695652,0,0,2.23255814,one,MEC
0,0,0,2.762589928,0,6.32967033,0,1.669565217,26.53658537,0,22.3255814,one,MEC
0,0,0,0,0,4.21978022,20.42553191,51.75652174,0,0,34.60465116,one,MEC
0,0,0,1.381294964,0,37.97802198,137.5319149,20.03478261,1.56097561,0,40.18604651,one,MEC
0,0,0,1.381294964,0,14.76923077,87.14893617,18.36521739,7.804878049,0,39.06976744,one,MEC
0,0,3.398230088,0,0,4.21978022,17.70212766,13.35652174,0,0,0,one,MEC
0,0,0,0,0,0,2.723404255,13.35652174,48.3902439,3.310344828,27.90697674,one,MEC
0,0,0,0,0,0,28.59574468,16.69565217,12.48780488,0,41.30232558,one,MEC
0,0,6.796460177,0,4.860759494,0,1.361702128,10.0173913,1.56097561,0,8.930232558,one,MEC
0,1.794392523,0,2.762589928,2.430379747,8.43956044,28.59574468,18.36521739,14.04878049,0,24.55813953,one,MEC
0,0,1.699115044,0,0,8.43956044,17.70212766,16.69565217,0,0,17.86046512,one,MEC
0,0,0,1.381294964,0,2.10989011,0,11.68695652,12.48780488,0,8.930232558,one,MEC
0,0,0,6.90647482,0,6.32967033,4.085106383,0,4.682926829,1.655172414,113.8604651,one,MEC
0,0,1.699115044,9.669064748,0,21.0989011,126.6382979,1.669565217,14.04878049,0,5.581395349,one,MEC
0,3.588785047,0,1.381294964,0,12.65934066,62.63829787,10.0173913,10.92682927,0,73.6744186,one,MEC
0,0,15.2920354,2.762589928,29.16455696,16.87912088,43.57446809,46.74782609,39.02439024,0,27.90697674,one,MEC
0,0,5.097345133,2.762589928,0,29.53846154,29.95744681,23.37391304,21.85365854,18.20689655,77.02325581,one,MEC
2.157303371,17.94392523,8.495575221,9.669064748,0,54.85714286,95.31914894,36.73043478,145.1707317,0,97.11627907,one,MEC
0,0,0,2.762589928,0,0,10.89361702,26.71304348,21.85365854,0,45.76744186,one,MEC
0,0,0,0,0,2.10989011,149.787234,36.73043478,0,0,14.51162791,one,MEC
0,0,0,0,0,23.20879121,107.5744681,20.03478261,3.12195122,0,77.02325581,one,MEC
8.629213483,0,5.097345133,23.48201439,0,33.75824176,9.531914894,3.339130435,129.5609756,62.89655172,81.48837209,one,MEC
0,7.177570093,15.2920354,19.3381295,26.73417722,42.1978022,42.21276596,15.02608696,12.48780488,0,50.23255814,one,MEC
40.98876404,1.794392523,1.699115044,0,12.15189873,0,0,0,156.097561,72.82758621,84.8372093,one,MEC
0,0,1.699115044,9.669064748,0,21.0989011,77.61702128,10.0173913,3.12195122,0,25.6744186,one,MEC
4.314606742,0,1.699115044,6.90647482,0,2.10989011,2.723404255,0,4.682926829,3.310344828,16.74418605,one,MEC
2.157303371,5.38317757,0,5.525179856,2.430379747,0,0,0,365.2682927,147.3103448,116.0930233,one,MEC
0,7.177570093,0,0,0,0,0,0,23.41463415,1.655172414,0,one,MEC
0,0,0,0,0,0,29.95744681,3.339130435,26.53658537,0,154.0465116,one,MEC
0,1.794392523,1.699115044,1.381294964,4.860759494,4.21978022,9.531914894,26.71304348,3.12195122,16.55172414,114.9767442,one,MEC
0,12.56074766,0,2.762589928,0,12.65934066,49.0212766,0,10.92682927,0,32.37209302,one,MEC
4.314606742,3.588785047,1.699115044,2.762589928,29.16455696,0,0,0,73.36585366,46.34482759,18.97674419,one,MEC
4.314606742,0,0,1.381294964,4.860759494,23.20879121,51.74468085,18.36521739,0,0,10.04651163,one,MEC
0,0,0,0,0,31.64835165,141.6170213,1.669565217,0,0,12.27906977,one,MEC
0,0,3.398230088,15.1942446,4.860759494,67.51648352,59.91489362,16.69565217,10.92682927,0,46.88372093,one,MEC
0,0,3.398230088,66.30215827,7.291139241,44.30769231,64,25.04347826,17.17073171,0,17.86046512,one,MEC
6.471910112,1.794392523,0,0,0,0,0,0,4.682926829,6.620689655,0,one,MEC
0,0,0,0,0,8.43956044,10.89361702,18.36521739,18.73170732,0,97.11627907,one,MEC
0,0,1.699115044,29.00719424,0,56.96703297,50.38297872,60.10434783,0,0,10.04651163,one,MEC
0,0,0,0,0,0,0,6.67826087,0,0,0,one,MEC
0,0,0,5.525179856,0,0,0,0,74.92682927,13.24137931,46.88372093,one,MEC
2.157303371,12.56074766,0,1.381294964,0,0,2.723404255,0,79.6097561,16.55172414,62.51162791,one,MEC
0,5.38317757,0,5.525179856,0,14.76923077,12.25531915,0,37.46341463,16.55172414,142.8837209,one,MEC
0,0,0,0,0,27.42857143,72.17021277,11.68695652,1.56097561,0,32.37209302,one,MEC
0,0,8.495575221,0,4.860759494,0,0,0,21.85365854,3.310344828,107.1627907,one,MEC
0,0,0,0,0,0,14.9787234,0,0,0,0,one,MEC
0,0,0,19.3381295,0,25.31868132,47.65957447,3.339130435,3.12195122,9.931034483,56.93023256,one,MEC
0,1.794392523,0,8.287769784,0,6.32967033,16.34042553,16.69565217,18.73170732,0,0,one,MEC
0,0,0,0,0,16.87912088,80.34042553,10.0173913,0,0,94.88372093,one,MEC
4.314606742,7.177570093,0,0,2.430379747,0,4.085106383,0,45.26829268,0,59.1627907,one,MEC
0,0,0,0,0,0,40.85106383,23.37391304,0,0,0,one,MEC
0,0,0,0,0,0,84.42553191,28.3826087,6.243902439,0,5.581395349,one,MEC
0,0,0,5.525179856,0,2.10989011,134.8085106,40.06956522,1.56097561,0,75.90697674,one,MEC
0,0,5.097345133,1.381294964,0,46.41758242,36.76595745,18.36521739,0,0,0,one,MEC
0,0,0,0,7.291139241,0,0,0,227.902439,135.7241379,40.18604651,one,MEC
0,1.794392523,0,0,14.58227848,0,6.808510638,5.008695652,4.682926829,0,30.13953488,one,MEC
0,7.177570093,0,0,0,6.32967033,12.25531915,0,135.804878,51.31034483,16.74418605,one,MEC
0,7.177570093,1.699115044,1.381294964,0,2.10989011,0,0,53.07317073,44.68965517,71.44186047,one,MEC
0,0,10.19469027,13.81294964,0,31.64835165,27.23404255,83.47826087,34.34146341,19.86206897,34.60465116,one,MEC
0,0,0,2.762589928,0,10.54945055,49.0212766,11.68695652,24.97560976,0,8.930232558,one,MEC
12.94382022,3.588785047,10.19469027,1.381294964,7.291139241,2.10989011,8.170212766,38.4,131.1219512,91.03448276,61.39534884,one,MEC
0,0,0,4.143884892,0,14.76923077,76.25531915,3.339130435,0,0,1.11627907,one,MEC
0,0,0,1.381294964,0,4.21978022,8.170212766,23.37391304,14.04878049,0,50.23255814,one,MEC
0,0,0,0,0,6.32967033,14.9787234,0,74.92682927,48,14.51162791,one,MEC
6.471910112,0,0,0,9.721518987,0,9.531914894,0,53.07317073,1.655172414,1.11627907,one,MEC
0,0,0,4.143884892,0,27.42857143,73.53191489,0,0,0,36.8372093,one,MEC
0,0,0,0,0,8.43956044,29.95744681,5.008695652,0,0,0,one,MEC
