cluster_index,projecting,region,Effect_Size,p-value
11,0,VIS,-0.21150410519371174,0.5167001383080684
11,0,RSC,-0.21150410519371174,0.5167001383080684
12,1,PFC,-0.13750352374993496,0.7445854293654743
12,0,ORB,-0.13750352374993496,0.7445854293654743
12,0,MO,-0.13750352374993496,0.7445854293654743
12,0,SS,-0.13750352374993496,0.7445854293654743
12,1,ACA,-0.13750352374993496,0.7445854293654743
12,0,PTL,-0.13750352374993496,0.7445854293654743
12,0,VIS,-0.13750352374993496,0.7445854293654743
12,0,RSC,-0.13750352374993496,0.7445854293654743
13,1,PFC,-0.21150410519371174,0.5167001383080684
13,0,ORB,-0.21150410519371174,0.5167001383080684
13,0,MO,-0.21150410519371174,0.5167001383080684
13,0,SS,-0.21150410519371174,0.5167001383080684
13,0,ACA,-0.21150410519371174,0.5167001383080684
13,0,PTL,-0.21150410519371174,0.5167001383080684
13,1,VIS,-0.21150410519371174,0.5167001383080684
13,0,RSC,-0.21150410519371174,0.5167001383080684
14,1,PFC,-2.8744691179161412,2.1009930230563042e-07
14,0,ORB,-2.8744691179161412,2.1009930230563042e-07
14,0,MO,-2.8744691179161412,2.1009930230563042e-07
14,0,SS,-2.8744691179161412,2.1009930230563042e-07
14,0,ACA,-2.8744691179161412,2.1009930230563042e-07
14,0,PTL,-2.8744691179161412,2.1009930230563042e-07
14,0,VIS,-2.8744691179161412,2.1009930230563042e-07
14,1,RSC,-2.8744691179161412,2.1009930230563042e-07
15,0,PFC,-0.758991900496205,0.039015468788818966
15,1,ORB,-0.758991900496205,0.039015468788818966
15,1,MO,-0.758991900496205,0.039015468788818966
15,0,SS,-0.758991900496205,0.039015468788818966
15,0,ACA,-0.758991900496205,0.039015468788818966
15,0,PTL,-0.758991900496205,0.039015468788818966
15,0,VIS,-0.758991900496205,0.039015468788818966
15,0,RSC,-0.758991900496205,0.039015468788818966
16,0,PFC,1.3734583955274444,3.541372236201546e-10
16,1,ORB,1.3734583955274444,3.541372236201546e-10
16,0,MO,1.3734583955274444,3.541372236201546e-10
16,1,SS,1.3734583955274444,3.541372236201546e-10
16,0,ACA,1.3734583955274444,3.541372236201546e-10
16,0,PTL,1.3734583955274444,3.541372236201546e-10
16,0,VIS,1.3734583955274444,3.541372236201546e-10
16,0,RSC,1.3734583955274444,3.541372236201546e-10
17,0,PFC,-0.758991900496205,0.039015468788818966
17,1,ORB,-0.758991900496205,0.039015468788818966
17,0,MO,-0.758991900496205,0.039015468788818966
17,0,SS,-0.758991900496205,0.039015468788818966
17,1,ACA,-0.758991900496205,0.039015468788818966
17,0,PTL,-0.758991900496205,0.039015468788818966
17,0,VIS,-0.758991900496205,0.039015468788818966
17,0,RSC,-0.758991900496205,0.039015468788818966
18,0,PFC,1.4232114307245438,4.7657974103683484e-11
18,1,ORB,1.4232114307245438,4.7657974103683484e-11
18,0,MO,1.4232114307245438,4.7657974103683484e-11
18,0,SS,1.4232114307245438,4.7657974103683484e-11
18,0,ACA,1.4232114307245438,4.7657974103683484e-11
18,0,PTL,1.4232114307245438,4.7657974103683484e-11
18,1,VIS,1.4232114307245438,4.7657974103683484e-11
18,0,RSC,1.4232114307245438,4.7657974103683484e-11
19,0,PFC,-2.4594316186372973,2.068078618145627e-06
19,1,ORB,-2.4594316186372973,2.068078618145627e-06
19,0,MO,-2.4594316186372973,2.068078618145627e-06
19,0,SS,-2.4594316186372973,2.068078618145627e-06
19,0,ACA,-2.4594316186372973,2.068078618145627e-06
19,0,PTL,-2.4594316186372973,2.068078618145627e-06
19,0,VIS,-2.4594316186372973,2.068078618145627e-06
19,1,RSC,-2.4594316186372973,2.068078618145627e-06
20,0,PFC,0.12553088208385882,0.6658312129519972
20,0,ORB,0.12553088208385882,0.6658312129519972
20,1,MO,0.12553088208385882,0.6658312129519972
20,1,SS,0.12553088208385882,0.6658312129519972
20,0,ACA,0.12553088208385882,0.6658312129519972
20,0,PTL,0.12553088208385882,0.6658312129519972
20,0,VIS,0.12553088208385882,0.6658312129519972
20,0,RSC,0.12553088208385882,0.6658312129519972
21,0,PFC,-2.137503523749935,1.0812556584162696e-05
21,0,ORB,-2.137503523749935,1.0812556584162696e-05
21,1,MO,-2.137503523749935,1.0812556584162696e-05
21,0,SS,-2.137503523749935,1.0812556584162696e-05
21,1,ACA,-2.137503523749935,1.0812556584162696e-05
21,0,PTL,-2.137503523749935,1.0812556584162696e-05
21,0,VIS,-2.137503523749935,1.0812556584162696e-05
21,0,RSC,-2.137503523749935,1.0812556584162696e-05
22,0,PFC,-1.4594316186372973,0.000493533344226294
22,0,ORB,-1.4594316186372973,0.000493533344226294
22,1,MO,-1.4594316186372973,0.000493533344226294
22,0,SS,-1.4594316186372973,0.000493533344226294
22,0,ACA,-1.4594316186372973,0.000493533344226294
22,0,PTL,-1.4594316186372973,0.000493533344226294
22,1,VIS,-1.4594316186372973,0.000493533344226294
22,0,RSC,-1.4594316186372973,0.000493533344226294
23,0,PFC,-2.8744691179161412,2.1009930230563042e-07
23,0,ORB,-2.8744691179161412,2.1009930230563042e-07
23,0,MO,-2.8744691179161412,2.1009930230563042e-07
23,1,SS,-2.8744691179161412,2.1009930230563042e-07
23,1,ACA,-2.8744691179161412,2.1009930230563042e-07
23,0,PTL,-2.8744691179161412,2.1009930230563042e-07
23,0,VIS,-2.8744691179161412,2.1009930230563042e-07
23,0,RSC,-2.8744691179161412,2.1009930230563042e-07
24,0,PFC,-0.5525410230287788,0.12804611837229374
24,0,ORB,-0.5525410230287788,0.12804611837229374
24,0,MO,-0.5525410230287788,0.12804611837229374
24,1,SS,-0.5525410230287788,0.12804611837229374
24,0,ACA,-0.5525410230287788,0.12804611837229374
24,1,PTL,-0.5525410230287788,0.12804611837229374
24,0,VIS,-0.5525410230287788,0.12804611837229374
24,0,RSC,-0.5525410230287788,0.12804611837229374
25,0,PFC,2.169925001442312,1.0969484631975693e-33
25,0,ORB,2.169925001442312,1.0969484631975693e-33
25,0,MO,2.169925001442312,1.0969484631975693e-33
25,1,SS,2.169925001442312,1.0969484631975693e-33
25,0,ACA,2.169925001442312,1.0969484631975693e-33
25,0,PTL,2.169925001442312,1.0969484631975693e-33
25,1,VIS,2.169925001442312,1.0969484631975693e-33
25,0,RSC,2.169925001442312,1.0969484631975693e-33
26,0,PFC,-2.137503523749935,1.0812556584162696e-05
26,0,ORB,-2.137503523749935,1.0812556584162696e-05
26,0,MO,-2.137503523749935,1.0812556584162696e-05
26,1,SS,-2.137503523749935,1.0812556584162696e-05
26,0,ACA,-2.137503523749935,1.0812556584162696e-05
26,0,PTL,-2.137503523749935,1.0812556584162696e-05
26,0,VIS,-2.137503523749935,1.0812556584162696e-05
26,1,RSC,-2.137503523749935,1.0812556584162696e-05
27,0,PFC,-2.4594316186372973,2.068078618145627e-06
27,0,ORB,-2.4594316186372973,2.068078618145627e-06
27,0,MO,-2.4594316186372973,2.068078618145627e-06
27,0,SS,-2.4594316186372973,2.068078618145627e-06
27,1,ACA,-2.4594316186372973,2.068078618145627e-06
27,0,PTL,-2.4594316186372973,2.068078618145627e-06
27,1,VIS,-2.4594316186372973,2.068078618145627e-06
27,0,RSC,-2.4594316186372973,2.068078618145627e-06
28,0,PFC,-2.4594316186372973,2.068078618145627e-06
28,0,ORB,-2.4594316186372973,2.068078618145627e-06
28,0,MO,-2.4594316186372973,2.068078618145627e-06
28,0,SS,-2.4594316186372973,2.068078618145627e-06
28,1,ACA,-2.4594316186372973,2.068078618145627e-06
28,0,PTL,-2.4594316186372973,2.068078618145627e-06
28,0,VIS,-2.4594316186372973,2.068078618145627e-06
28,1,RSC,-2.4594316186372973,2.068078618145627e-06
29,0,PFC,1.5405683813627027,2.365154748681209e-13
29,0,ORB,1.5405683813627027,2.365154748681209e-13
29,0,MO,1.5405683813627027,2.365154748681209e-13
29,0,SS,1.5405683813627027,2.365154748681209e-13
29,0,ACA,1.5405683813627027,2.365154748681209e-13
29,1,PTL,1.5405683813627027,2.365154748681209e-13
29,1,VIS,1.5405683813627027,2.365154748681209e-13
29,0,RSC,1.5405683813627027,2.365154748681209e-13
30,0,PFC,-2.4594316186372973,2.068078618145627e-06
30,0,ORB,-2.4594316186372973,2.068078618145627e-06
30,0,MO,-2.4594316186372973,2.068078618145627e-06
30,0,SS,-2.4594316186372973,2.068078618145627e-06
30,0,ACA,-2.4594316186372973,2.068078618145627e-06
30,1,PTL,-2.4594316186372973,2.068078618145627e-06
30,0,VIS,-2.4594316186372973,2.068078618145627e-06
30,1,RSC,-2.4594316186372973,2.068078618145627e-06
31,0,PFC,2.825970600224951,4.2174376230255845e-78
31,0,ORB,2.825970600224951,4.2174376230255845e-78
31,0,MO,2.825970600224951,4.2174376230255845e-78
31,0,SS,2.825970600224951,4.2174376230255845e-78
31,0,ACA,2.825970600224951,4.2174376230255845e-78
31,0,PTL,2.825970600224951,4.2174376230255845e-78
31,1,VIS,2.825970600224951,4.2174376230255845e-78
31,1,RSC,2.825970600224951,4.2174376230255845e-78
32,1,PFC,2.232660756790275,1.7313166480639797e-33
32,1,ORB,2.232660756790275,1.7313166480639797e-33
32,1,MO,2.232660756790275,1.7313166480639797e-33
32,0,SS,2.232660756790275,1.7313166480639797e-33
32,0,ACA,2.232660756790275,1.7313166480639797e-33
32,0,PTL,2.232660756790275,1.7313166480639797e-33
32,0,VIS,2.232660756790275,1.7313166480639797e-33
32,0,RSC,2.232660756790275,1.7313166480639797e-33
33,1,PFC,0.963474123974886,0.00015033004206808394
33,1,ORB,0.963474123974886,0.00015033004206808394
33,0,MO,0.963474123974886,0.00015033004206808394
33,1,SS,0.963474123974886,0.00015033004206808394
33,0,ACA,0.963474123974886,0.00015033004206808394
33,0,PTL,0.963474123974886,0.00015033004206808394
33,0,VIS,0.963474123974886,0.00015033004206808394
33,0,RSC,0.963474123974886,0.00015033004206808394
34,1,PFC,1.6553518286125541,1.1547201141191028e-14
34,1,ORB,1.6553518286125541,1.1547201141191028e-14
34,0,MO,1.6553518286125541,1.1547201141191028e-14
34,0,SS,1.6553518286125541,1.1547201141191028e-14
34,1,ACA,1.6553518286125541,1.1547201141191028e-14
34,0,PTL,1.6553518286125541,1.1547201141191028e-14
34,0,VIS,1.6553518286125541,1.1547201141191028e-14
34,0,RSC,1.6553518286125541,1.1547201141191028e-14
35,1,PFC,1.5360529002402097,3.4767384414089275e-12
35,1,ORB,1.5360529002402097,3.4767384414089275e-12
35,0,MO,1.5360529002402097,3.4767384414089275e-12
35,0,SS,1.5360529002402097,3.4767384414089275e-12
35,0,ACA,1.5360529002402097,3.4767384414089275e-12
35,0,PTL,1.5360529002402097,3.4767384414089275e-12
35,1,VIS,1.5360529002402097,3.4767384414089275e-12
35,0,RSC,1.5360529002402097,3.4767384414089275e-12
36,1,PFC,-1.5145731728297582,0.0008554776324118561
36,1,ORB,-1.5145731728297582,0.0008554776324118561
36,0,MO,-1.5145731728297582,0.0008554776324118561
36,0,SS,-1.5145731728297582,0.0008554776324118561
36,0,ACA,-1.5145731728297582,0.0008554776324118561
36,0,PTL,-1.5145731728297582,0.0008554776324118561
