['PFC']
['ORB']
['MO']
['SS']
['ACA']
['PTL']
['VIS']
['RSC']
"['PFC', 'ORB']"
"['PFC', 'MO']"
"['PFC', 'SS']"
"['PFC', 'ACA']"
"['PFC', 'VIS']"
"['PFC', 'RSC']"
"['ORB', 'MO']"
"['ORB', 'SS']"
"['ORB', 'ACA']"
"['ORB', 'VIS']"
"['ORB', 'RSC']"
"['MO', 'SS']"
"['MO', 'ACA']"
"['MO', 'VIS']"
"['SS', 'ACA']"
"['SS', 'PTL']"
"['SS', 'VIS']"
"['SS', 'RSC']"
"['ACA', 'VIS']"
"['ACA', 'RSC']"
"['PTL', 'VIS']"
"['PTL', 'RSC']"
"['VIS', 'RSC']"
"['PFC', 'ORB', 'MO']"
"['PFC', 'ORB', 'SS']"
"['PFC', 'ORB', 'ACA']"
"['PFC', 'ORB', 'VIS']"
"['PFC', 'ORB', 'RSC']"
"['PFC', 'MO', 'SS']"
"['PFC', 'MO', 'ACA']"
"['PFC', 'MO', 'VIS']"
"['PFC', 'SS', 'ACA']"
"['PFC', 'SS', 'PTL']"
"['PFC', 'SS', 'VIS']"
"['PFC', 'ACA', 'VIS']"
"['PFC', 'PTL', 'VIS']"
"['PFC', 'VIS', 'RSC']"
"['ORB', 'MO', 'SS']"
"['ORB', 'MO', 'ACA']"
"['ORB', 'MO', 'VIS']"
"['ORB', 'MO', 'RSC']"
"['ORB', 'SS', 'ACA']"
"['ORB', 'SS', 'PTL']"
"['ORB', 'SS', 'VIS']"
"['ORB', 'SS', 'RSC']"
"['ORB', 'ACA', 'VIS']"
"['ORB', 'ACA', 'RSC']"
"['ORB', 'PTL', 'VIS']"
"['ORB', 'VIS', 'RSC']"
"['MO', 'SS', 'ACA']"
"['MO', 'SS', 'PTL']"
"['MO', 'SS', 'VIS']"
"['PFC', 'MO', 'ACA', 'VIS', 'RSC']"
"['PFC', 'MO', 'PTL', 'VIS', 'RSC']"
"['PFC', 'SS', 'ACA', 'PTL', 'VIS']"
"['PFC', 'SS', 'ACA', 'VIS', 'RSC']"
"['PFC', 'SS', 'PTL', 'VIS', 'RSC']"
"['PFC', 'ACA', 'PTL', 'VIS', 'RSC']"
"['ORB', 'MO', 'SS', 'ACA', 'PTL']"
"['ORB', 'MO', 'SS', 'ACA', 'VIS']"
"['ORB', 'MO', 'SS', 'PTL', 'VIS']"
"['ORB', 'MO', 'SS', 'PTL', 'RSC']"
"['ORB', 'MO', 'SS', 'VIS', 'RSC']"
"['ORB', 'MO', 'ACA', 'PTL', 'VIS']"
"['ORB', 'MO', 'ACA', 'PTL', 'RSC']"
"['ORB', 'MO', 'ACA', 'VIS', 'RSC']"
"['ORB', 'MO', 'PTL', 'VIS', 'RSC']"
"['ORB', 'SS', 'ACA', 'PTL', 'VIS']"
"['ORB', 'SS', 'ACA', 'VIS', 'RSC']"
"['ORB', 'SS', 'PTL', 'VIS', 'RSC']"
"['ORB', 'ACA', 'PTL', 'VIS', 'RSC']"
"['MO', 'SS', 'ACA', 'PTL', 'VIS']"
"['MO', 'SS', 'ACA', 'VIS', 'RSC']"
"['MO', 'SS', 'PTL', 'VIS', 'RSC']"
"['MO', 'ACA', 'PTL', 'VIS', 'RSC']"
"['SS', 'ACA', 'PTL', 'VIS', 'RSC']"
"['PFC', 'ORB', 'MO', 'SS', 'ACA', 'PTL']"
"['PFC', 'ORB', 'MO', 'SS', 'ACA', 'VIS']"
"['PFC', 'ORB', 'MO', 'SS', 'ACA', 'RSC']"
"['PFC', 'ORB', 'MO', 'SS', 'PTL', 'VIS']"
"['PFC', 'ORB', 'MO', 'SS', 'PTL', 'RSC']"
"['PFC', 'ORB', 'MO', 'SS', 'VIS', 'RSC']"
"['PFC', 'ORB', 'MO', 'ACA', 'PTL', 'VIS']"
"['PFC', 'ORB', 'MO', 'ACA', 'PTL', 'RSC']"
"['PFC', 'ORB', 'MO', 'ACA', 'VIS', 'RSC']"
"['PFC', 'ORB', 'MO', 'PTL', 'VIS', 'RSC']"
"['PFC', 'ORB', 'SS', 'ACA', 'PTL', 'VIS']"
"['PFC', 'ORB', 'SS', 'ACA', 'VIS', 'RSC']"
"['PFC', 'ORB', 'SS', 'PTL', 'VIS', 'RSC']"
"['PFC', 'ORB', 'ACA', 'PTL', 'VIS', 'RSC']"
"['PFC', 'MO', 'SS', 'ACA', 'PTL', 'VIS']"
"['PFC', 'MO', 'SS', 'ACA', 'PTL', 'RSC']"
"['PFC', 'MO', 'SS', 'ACA', 'VIS', 'RSC']"
"['PFC', 'MO', 'SS', 'PTL', 'VIS', 'RSC']"
"['PFC', 'MO', 'ACA', 'PTL', 'VIS', 'RSC']"
"['PFC', 'SS', 'ACA', 'PTL', 'VIS', 'RSC']"
"['ORB', 'MO', 'SS', 'ACA', 'PTL', 'VIS']"
"['ORB', 'MO', 'SS', 'ACA', 'VIS', 'RSC']"
"['ORB', 'MO', 'SS', 'PTL', 'VIS', 'RSC']"
"['ORB', 'MO', 'ACA', 'PTL', 'VIS', 'RSC']"
"['ORB', 'SS', 'ACA', 'PTL', 'VIS', 'RSC']"
"['MO', 'SS', 'ACA', 'PTL', 'VIS', 'RSC']"
"['PFC', 'ORB', 'MO', 'SS', 'ACA', 'PTL', 'VIS']"
"['PFC', 'ORB', 'MO', 'SS', 'ACA', 'PTL', 'RSC']"
"['PFC', 'ORB', 'MO', 'SS', 'ACA', 'VIS', 'RSC']"
"['PFC', 'ORB', 'MO', 'SS', 'PTL', 'VIS', 'RSC']"
"['PFC', 'ORB', 'MO', 'ACA', 'PTL', 'VIS', 'RSC']"
"['PFC', 'ORB', 'SS', 'ACA', 'PTL', 'VIS', 'RSC']"
"['PFC', 'MO', 'SS', 'ACA', 'PTL', 'VIS', 'RSC']"
"['ORB', 'MO', 'SS', 'ACA', 'PTL', 'VIS', 'RSC']"
"['PFC', 'ORB', 'MO', 'SS', 'ACA', 'PTL', 'VIS', 'RSC']"
